feature,feature_family,feature_role,source
gender,gender,categorical_or_binary,current
job,job,categorical_or_binary,current
family_diabetes,family_diabetes,categorical_or_binary,current
height_cm,height_cm,continuous,current
diabetic_year,diabetic_year,continuous,current
age,age,continuous,current
weight_kg,weight_kg,continuous,current
bmi_current,bmi,continuous,current
follow_diet,follow_diet,categorical_or_binary,current
take_medicine,take_medicine,categorical_or_binary,current
insulin,insulin,categorical_or_binary,current
hypertension,hypertension,categorical_or_binary,current
heart_disease,heart_disease,categorical_or_binary,current
sleep_sufficient,sleep_sufficient,categorical_or_binary,current
water_sufficient,water_sufficient,categorical_or_binary,current
smoke,smoke,categorical_or_binary,current
zarda_betel,zarda_betel,categorical_or_binary,current
walk_regularly,walk_regularly,categorical_or_binary,current
urination_proper,urination_proper,categorical_or_binary,current
urinary_infection,urinary_infection,categorical_or_binary,current
pain_killer,pain_killer,categorical_or_binary,current
calorie_intake,calorie_intake,continuous,current
prior_visit_count,prior_visit_count,continuous,current
weight_kg_lag1,weight_kg,continuous,strict_past_history
weight_kg_delta1,weight_kg,continuous,strict_past_history
weight_kg_past_mean,weight_kg,continuous,strict_past_history
bmi_current_lag1,bmi,continuous,strict_past_history
bmi_current_delta1,bmi,continuous,strict_past_history
bmi_current_past_mean,bmi,continuous,strict_past_history
calorie_intake_lag1,calorie_intake,continuous,strict_past_history
calorie_intake_delta1,calorie_intake,continuous,strict_past_history
calorie_intake_past_mean,calorie_intake,continuous,strict_past_history
follow_diet_lag1,follow_diet,categorical_or_binary,strict_past_history
follow_diet_delta1,follow_diet,continuous,strict_past_history
follow_diet_past_mean,follow_diet,continuous,strict_past_history
take_medicine_lag1,take_medicine,categorical_or_binary,strict_past_history
take_medicine_delta1,take_medicine,continuous,strict_past_history
take_medicine_past_mean,take_medicine,continuous,strict_past_history
insulin_lag1,insulin,categorical_or_binary,strict_past_history
insulin_delta1,insulin,continuous,strict_past_history
insulin_past_mean,insulin,continuous,strict_past_history
hypertension_lag1,hypertension,categorical_or_binary,strict_past_history
hypertension_delta1,hypertension,continuous,strict_past_history
hypertension_past_mean,hypertension,continuous,strict_past_history
heart_disease_lag1,heart_disease,categorical_or_binary,strict_past_history
heart_disease_delta1,heart_disease,continuous,strict_past_history
heart_disease_past_mean,heart_disease,continuous,strict_past_history
sleep_sufficient_lag1,sleep_sufficient,categorical_or_binary,strict_past_history
sleep_sufficient_delta1,sleep_sufficient,continuous,strict_past_history
sleep_sufficient_past_mean,sleep_sufficient,continuous,strict_past_history
water_sufficient_lag1,water_sufficient,categorical_or_binary,strict_past_history
water_sufficient_delta1,water_sufficient,continuous,strict_past_history
water_sufficient_past_mean,water_sufficient,continuous,strict_past_history
smoke_lag1,smoke,categorical_or_binary,strict_past_history
smoke_delta1,smoke,continuous,strict_past_history
smoke_past_mean,smoke,continuous,strict_past_history
zarda_betel_lag1,zarda_betel,categorical_or_binary,strict_past_history
zarda_betel_delta1,zarda_betel,continuous,strict_past_history
zarda_betel_past_mean,zarda_betel,continuous,strict_past_history
walk_regularly_lag1,walk_regularly,categorical_or_binary,strict_past_history
walk_regularly_delta1,walk_regularly,continuous,strict_past_history
walk_regularly_past_mean,walk_regularly,continuous,strict_past_history
urination_proper_lag1,urination_proper,categorical_or_binary,strict_past_history
urination_proper_delta1,urination_proper,continuous,strict_past_history
urination_proper_past_mean,urination_proper,continuous,strict_past_history
urinary_infection_lag1,urinary_infection,categorical_or_binary,strict_past_history
urinary_infection_delta1,urinary_infection,continuous,strict_past_history
urinary_infection_past_mean,urinary_infection,continuous,strict_past_history
pain_killer_lag1,pain_killer,categorical_or_binary,strict_past_history
pain_killer_delta1,pain_killer,continuous,strict_past_history
pain_killer_past_mean,pain_killer,continuous,strict_past_history
weight_kg_past_min,weight_kg,continuous,strict_past_history
weight_kg_past_max,weight_kg,continuous,strict_past_history
weight_kg_past_slope,weight_kg,continuous,strict_past_history
bmi_current_past_min,bmi,continuous,strict_past_history
bmi_current_past_max,bmi,continuous,strict_past_history
bmi_current_past_slope,bmi,continuous,strict_past_history
calorie_intake_past_min,calorie_intake,continuous,strict_past_history
calorie_intake_past_max,calorie_intake,continuous,strict_past_history
calorie_intake_past_slope,calorie_intake,continuous,strict_past_history
