model,outer_fold,inner_pr_auc,tune_iterations,best_parameters,output_tag,run_seed
dummy,1,,0,{},primary,42
dummy,2,,0,{},primary,42
dummy,3,,0,{},primary,42
dummy,4,,0,{},primary,42
dummy,5,,0,{},primary,42
time_only_logistic,1,,0,{},primary,42
time_only_logistic,2,,0,{},primary,42
time_only_logistic,3,,0,{},primary,42
time_only_logistic,4,,0,{},primary,42
time_only_logistic,5,,0,{},primary,42
logistic_regression,1,0.34742379634900855,12,"{""model__C"": 0.01}",primary,42
logistic_regression,2,0.33275919581359575,12,"{""model__C"": 0.01}",primary,42
logistic_regression,3,0.31835534636270074,12,"{""model__C"": 0.01}",primary,42
logistic_regression,4,0.34394428054687776,12,"{""model__C"": 0.01}",primary,42
logistic_regression,5,0.36621502698776937,12,"{""model__C"": 0.01}",primary,42
decision_tree,1,0.4111275204978429,12,"{""model__criterion"": ""gini"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",primary,42
decision_tree,2,0.4588366443243543,12,"{""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 10}",primary,42
decision_tree,3,0.46857836944010717,12,"{""model__criterion"": ""gini"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 2}",primary,42
decision_tree,4,0.4202186345056977,12,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__min_samples_split"": 5}",primary,42
decision_tree,5,0.45293307440365643,12,"{""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",primary,42
random_forest,1,0.497118716481459,12,"{""model__max_depth"": 6, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 700}",primary,42
random_forest,2,0.5591086791003111,12,"{""model__max_depth"": 14, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 700}",primary,42
random_forest,3,0.4969529165628031,12,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 700}",primary,42
random_forest,4,0.5343655163761251,12,"{""model__max_depth"": 14, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}",primary,42
random_forest,5,0.5077734924094092,12,"{""model__max_depth"": 14, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",primary,42
xgboost,1,0.548486381702987,30,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 600, ""model__reg_lambda"": 3, ""model__subsample"": 0.7}",primary,42
xgboost,2,0.5886298241930286,30,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__reg_lambda"": 10, ""model__subsample"": 0.7}",primary,42
xgboost,3,0.5631688378019556,30,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 250, ""model__reg_lambda"": 3, ""model__subsample"": 0.7}",primary,42
xgboost,4,0.5872779838558524,30,"{""model__colsample_bytree"": 0.7, ""model__learning_rate"": 0.03, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 10, ""model__subsample"": 0.7}",primary,42
