model,pr_auc_ci_low,pr_auc_ci_high,roc_auc_ci_low,roc_auc_ci_high
catboost,0.4691666436200993,0.6256936383819,0.8566108979500574,0.9137513308344561
decision_tree,0.3874095940412152,0.543656753445312,0.8110518669092673,0.8835752374798312
dummy,0.04887443859324095,0.06287387136505425,0.48972977528959755,0.5262745816547466
extra_trees,0.38412562996490746,0.5333994671928358,0.8318360117771935,0.8940694639661778
hist_gradient_boosting,0.4551235576624224,0.6068436167369271,0.8694230339479341,0.9211029840207535
lightgbm,0.44292193503401395,0.6005132473100746,0.8371800143395632,0.9009986377929704
logistic_regression,0.31312919830525393,0.4346122938469461,0.8194041007522795,0.8756596092752064
mlp,0.24504887635526315,0.37386879107890253,0.7457222442460356,0.820036837771914
random_forest,0.42178074239034724,0.5821217277614066,0.8659990548370268,0.9212224890533182
svm_rbf,0.3517056016202599,0.4981919809658594,0.8209238415555605,0.8802697153052724
time_only_logistic,0.09071276097781523,0.12663567745142,0.6545135518844524,0.7197426645234747
xgboost,0.4984414749319434,0.643019021848746,0.8607380175888882,0.9171890730657136
