outer_fold,training_fraction,training_patients,training_examples,pr_auc,roc_auc
1,0.25,80,674,0.4931265967002759,0.8859836580766813
1,0.5,160,1353,0.5756756906573579,0.8539702493190866
1,0.75,240,2046,0.5867566109961374,0.8892520427404149
1,1.0,320,2717,0.5580627710241794,0.8982191493819401
2,0.25,80,673,0.43409983854763073,0.8358561369481806
2,0.5,160,1372,0.4643045277091252,0.8813509297128641
2,0.75,240,2045,0.5235761368234618,0.8843867268204242
2,1.0,320,2721,0.515692235843897,0.8748576970105832
3,0.25,80,692,0.5208886322930985,0.9039178713597318
3,0.5,160,1359,0.5856765036836558,0.9230672532998114
3,0.75,240,2042,0.5632396952802949,0.9101613241148125
3,1.0,320,2717,0.6009156272546559,0.9174523360569872
4,0.25,80,686,0.5196497810593481,0.8574881257618427
4,0.5,160,1348,0.5191114413699218,0.8868689840696061
4,0.75,240,2037,0.5599712781409661,0.8851666596612164
4,1.0,320,2719,0.5317955916711865,0.8764658904627801
5,0.25,80,675,0.4782610296282477,0.8528293918918919
5,0.5,160,1370,0.5143617861830031,0.8581503378378379
5,0.75,240,2038,0.518414254935237,0.8747888513513514
5,1.0,320,2722,0.5460660746962874,0.9016469594594595
