model,evaluation_seed,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
catboost,7,0.5668935769186338,0.0732281840634027,0.8916803373211005,0.04550860475117434,0.5661650964609326,0.06554328298681457
catboost,42,0.5754789333947059,0.03692693220590483,0.900770302111545,0.014175032396138185,0.5504485252985462,0.056541138123594306
catboost,2026,0.559305770130041,0.055901245432877125,0.9024421719849723,0.008200643638235057,0.5626890299781817,0.02967339201766829
decision_tree,7,0.45149158989011007,0.09649591998507497,0.8437968715763835,0.05299610168590178,0.4946047277463091,0.10608587946608555
decision_tree,42,0.43074027799822573,0.030991592201153505,0.8542428206208657,0.06427005214767162,0.5561442604042657,0.04059260470309744
decision_tree,2026,0.44341473888498417,0.049109284130951704,0.8713200923216151,0.020264271096544006,0.5061809843836844,0.05436179039905836
dummy,7,0.056013494980014775,0.0038006118112095676,0.5026592393843365,0.019872358480110784,-0.007259061001833609,0.010661162760792042
dummy,42,0.05816463555411733,0.0081777422116841,0.5073901416189057,0.033901735309966985,0.02557352514004963,0.05094420944156045
dummy,2026,0.05450375812431425,0.0004309266920805608,0.4992780184728371,0.006714383226171582,0.003969892155514002,0.006075368282363322
extra_trees,7,0.5008202307272467,0.04624616830540004,0.8794623571004729,0.03606215334646346,0.5133142131493732,0.054218467170787536
extra_trees,42,0.508769288055207,0.0801070633431283,0.8780523684420594,0.007208226920595513,0.46904483095039834,0.03135370717802042
extra_trees,2026,0.49590750694410124,0.10533607814007996,0.8812302710014042,0.01617333341821829,0.4950676520057993,0.06899363329712095
hist_gradient_boosting,7,0.5587900794938039,0.08016151904503825,0.907785885713911,0.02348554793205254,0.5579679322253975,0.036165433274131596
hist_gradient_boosting,42,0.5348876905069506,0.04966064467099204,0.9028295786296621,0.013915106191650851,0.5538019944128258,0.05301537996143423
hist_gradient_boosting,2026,0.5285243763801899,0.03009342469591433,0.9049914761097465,0.015222871881389285,0.5498223437911811,0.07338237926284315
lightgbm,7,0.5433792078558674,0.07451745910220033,0.8927519943556044,0.04663625595981848,0.5389480435685785,0.05968596798260956
lightgbm,42,0.5447256383568269,0.03515061588820767,0.8930072899149055,0.01786238979565298,0.5492320751356973,0.06539344130377542
lightgbm,2026,0.563075737795389,0.06785914739402354,0.9061936768821075,0.008946763841224198,0.5594610521677339,0.06556903905619532
logistic_regression,7,0.3860331192043521,0.03557958045984856,0.8519351150627232,0.0312691846685006,0.37747265194722657,0.040613835871840684
logistic_regression,42,0.38693139633297235,0.08076327395605165,0.8495870622145894,0.019326798199041956,0.3555980033583193,0.04798978451159005
logistic_regression,2026,0.37299375839812365,0.06209146430781984,0.8513181821457199,0.013338724597049325,0.374412263522743,0.05772134920293563
mlp,7,0.29832871816342854,0.06429269001116625,0.7881605458853213,0.05522372093194431,0.3060929552264945,0.0844949215145238
mlp,42,0.3173707154518052,0.03185112399719973,0.794688282806739,0.03079051555824183,0.2719273705667762,0.024778090336135247
mlp,2026,0.2832937576112735,0.04104262841131331,0.8029706892970028,0.026565693237251345,0.3066818321000839,0.04326628017029036
random_forest,7,0.5148135446714104,0.04516318953989884,0.8993358484760229,0.03912682926895098,0.5587076688221373,0.046064322607078635
random_forest,42,0.5354828552153407,0.038607347882749776,0.9055348976450347,0.009845180819721154,0.5621456251759972,0.047229858861243604
random_forest,2026,0.5215105244865043,0.04828869396060778,0.9054693213295304,0.01303470039470411,0.5636472856233381,0.040203206743586205
svm_rbf,7,0.42536563278475337,0.06507922896344516,0.8501944552628189,0.03042912095424497,0.39363102578051656,0.05186801386078
svm_rbf,42,0.4392374792076191,0.10008729010661535,0.8528576285372187,0.018048748813443198,0.40674311704880395,0.049125334694570935
svm_rbf,2026,0.4151010317509266,0.08111456155717747,0.8559914889831687,0.01378377107689581,0.395886368785637,0.06035685965876303
time_only_logistic,7,0.12900092066259244,0.027985821879379466,0.6891425068981414,0.025512502873175368,0.13251065440554297,0.039288469275906644
time_only_logistic,42,0.1305284908316381,0.029398209108903183,0.6898539901501873,0.017421026119016005,0.1347905020486065,0.03144288658056584
time_only_logistic,2026,0.11815081573961375,0.017799156281967196,0.691912026864052,0.0201844253441032,0.12257605157191678,0.03389512554573922
xgboost,7,0.5565587793882079,0.05172422682999398,0.8968977326389564,0.039824195952780965,0.5526950876793701,0.045220947037221196
xgboost,42,0.5728611165091158,0.04036138470292723,0.8998436010335503,0.029830114019954366,0.552377365073966,0.03243415680362608
xgboost,2026,0.5610100559694088,0.04530039352446701,0.9086930886914437,0.006738491399109102,0.5241881042814169,0.06794701110034332
