model,observations,seeds,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
catboost,15,3,0.567226093481127,0.053491264504914156,0.8982976038058726,0.02631167626984648,0.5597675505792201,0.04940710554174659
xgboost,15,3,0.5634766506222441,0.04320738762638159,0.9018114741213169,0.027336145881210378,0.5430868523449177,0.048941504472755686
lightgbm,15,3,0.5503935280026944,0.057807529230677016,0.8973176537175391,0.02788655722394358,0.5492137236240032,0.05952431953148261
hist_gradient_boosting,15,3,0.5407340487936482,0.054600518803283316,0.9052023134844398,0.016838505456279372,0.5538640901431348,0.0522221054022375
random_forest,15,3,0.5239356414577517,0.0418844633621093,0.9034466891501959,0.022862496437668297,0.5615001932071575,0.041351836005735075
extra_trees,15,3,0.5018323419088516,0.0751319802816075,0.8795816655146456,0.021516457211603016,0.4924755653685236,0.05323875577862193
decision_tree,15,3,0.44188220225777336,0.06084453841675479,0.8564532615062881,0.047305944120201567,0.5189766575114197,0.0727640340496996
svm_rbf,15,3,0.42656804791443304,0.07782610601093613,0.8530145242610687,0.020443166768620527,0.3987535038716525,0.050340008467359726
logistic_regression,15,3,0.38198609131181605,0.05805436753686951,0.8509467864743441,0.02092785624877301,0.36916097294276295,0.0467058423730674
mlp,15,3,0.2996643970755024,0.046480905194651714,0.795273172663021,0.037191321594383174,0.2949007192977849,0.05507166997144056
time_only_logistic,15,3,0.12589340907794808,0.02436702304824922,0.690302841304127,0.019762609950451277,0.1299590693420221,0.0328919066032274
dummy,15,3,0.056227296219482116,0.005070017988851856,0.5031091331586931,0.0215859069611434,0.007428118764576675,0.031359862465218366
