feature,feature_family,mean_importance,std_importance,positive_fold_frequency,permutation_rank
prior_visit_count,prior_visit_count,0.45218400864932057,0.04986909208208919,1.0,1.0
diabetic_year,diabetic_year,0.16138666106946703,0.022890735225533844,1.0,2.0
calorie_intake_past_slope,calorie_intake,0.02504369344250451,0.01495886452436003,1.0,3.0
height_cm,height_cm,0.020935926070109728,0.007594308841490842,1.0,4.0
follow_diet_delta1,follow_diet,0.012171946681000634,0.017355690434745368,0.8,5.0
age,age,0.01010792924459972,0.023754847635617412,0.6,6.0
bmi_current_past_max,bmi,0.008326929597650959,0.02201262260258649,0.6,7.0
urinary_infection_past_mean,urinary_infection,0.007578386683942241,0.012279688264420847,0.8,8.0
weight_kg,weight_kg,0.007577302052013848,0.015570172833662603,0.6,9.0
heart_disease,heart_disease,0.006762372583657245,0.011806887100493615,0.8,10.0
weight_kg_past_max,weight_kg,0.006663180714371794,0.007090121908126447,0.8,11.0
follow_diet_past_mean,follow_diet,0.005613654513496024,0.009818938175939384,0.8,12.0
walk_regularly,walk_regularly,0.0053976096122412606,0.008099519100057968,0.8,13.0
insulin_past_mean,insulin,0.004937228022206483,0.02732027594481809,0.6,14.0
weight_kg_past_slope,weight_kg,0.0048910245317072484,0.009279269737204377,0.8,15.0
urinary_infection,urinary_infection,0.00421688342584364,0.006583217138348564,0.6,16.0
urination_proper_lag1,urination_proper,0.003466316053002405,0.0028103839375955603,1.0,17.0
take_medicine,take_medicine,0.0032489208780089305,0.005363728514355537,0.8,18.0
bmi_current_past_slope,bmi,0.0027603221218463923,0.007686526040231311,0.4,19.0
weight_kg_past_min,weight_kg,0.002051613693345231,0.006292383656754603,0.8,20.0
heart_disease_past_mean,heart_disease,0.0017087006470362677,0.0022456143087943624,0.8,21.0
pain_killer_lag1,pain_killer,0.0016631931668324904,0.0036953300771462505,0.8,22.0
weight_kg_delta1,weight_kg,0.0016296169267249016,0.006781466442202579,0.4,23.0
insulin_delta1,insulin,0.0015416888895459203,0.0016859581274291562,0.8,24.0
pain_killer,pain_killer,0.0014358681767074244,0.0014073740850455735,1.0,25.0
zarda_betel_past_mean,zarda_betel,0.0009957485749949035,0.0022120036310884278,0.4,26.0
gender,gender,0.0009755643155236849,0.002373104688185451,0.8,27.0
smoke_past_mean,smoke,0.0009556626337236661,0.003960542113266421,0.8,28.0
sleep_sufficient,sleep_sufficient,0.000789411087569818,0.006450796714535007,0.8,29.0
urination_proper_past_mean,urination_proper,0.0007784796696864848,0.0014464257079511988,0.8,30.0
take_medicine_lag1,take_medicine,0.0007764267750799013,0.0019192415812088323,0.6,31.0
walk_regularly_lag1,walk_regularly,0.0005680441178413308,0.00035485084540447,0.8,32.0
urination_proper,urination_proper,0.00047837742127997184,0.000997878086558395,0.4,33.0
smoke_lag1,smoke,0.0004321638459277356,0.0013418631844666566,0.4,34.0
calorie_intake_past_min,calorie_intake,0.0003998217200170529,0.0012362561751787088,0.2,35.0
insulin_lag1,insulin,0.0002848518571896074,0.002159950129966272,0.4,36.0
calorie_intake_lag1,calorie_intake,0.00024387381140188457,0.007643958958708295,0.4,37.0
follow_diet_lag1,follow_diet,0.00021839530033247907,0.0016775090722003323,0.4,38.0
hypertension_lag1,hypertension,0.0001235408891949708,0.002092065881913167,0.8,39.0
heart_disease_lag1,heart_disease,8.664193029956685e-05,0.001611687732801659,0.4,40.0
family_diabetes,family_diabetes,8.272135722508828e-05,0.003812336587788722,0.6,41.0
calorie_intake_delta1,calorie_intake,0.0,0.0,0.0,42.0
urinary_infection_delta1,urinary_infection,0.0,0.0,0.0,42.0
urination_proper_delta1,urination_proper,0.0,0.0,0.0,42.0
zarda_betel_delta1,zarda_betel,0.0,0.0,0.0,42.0
smoke_delta1,smoke,0.0,0.0,0.0,42.0
water_sufficient_delta1,water_sufficient,0.0,0.0,0.0,42.0
walk_regularly_delta1,walk_regularly,0.0,0.0,0.0,42.0
sleep_sufficient_delta1,sleep_sufficient,0.0,0.0,0.0,42.0
pain_killer_delta1,pain_killer,0.0,0.0,0.0,42.0
heart_disease_delta1,heart_disease,0.0,0.0,0.0,42.0
calorie_intake_past_mean,calorie_intake,-1.8532459394211614e-05,0.0017879693955258373,0.4,52.0
calorie_intake_past_max,calorie_intake,-2.0709388545292472e-05,3.949890022529549e-05,0.2,53.0
hypertension_delta1,hypertension,-4.774208072938713e-05,7.652974728487681e-05,0.0,54.0
zarda_betel_lag1,zarda_betel,-5.236587546956883e-05,0.0001661139146735791,0.2,55.0
sleep_sufficient_lag1,sleep_sufficient,-6.112825860185911e-05,0.0004518828826582015,0.4,56.0
take_medicine_delta1,take_medicine,-0.0001891756095289332,0.0004071203353531678,0.2,57.0
water_sufficient_past_mean,water_sufficient,-0.00020258737012771808,0.0003591250326063688,0.2,58.0
water_sufficient_lag1,water_sufficient,-0.0004847525557722698,0.0006202622527383979,0.4,59.0
follow_diet,follow_diet,-0.0004959068593712358,0.0031946044666200427,0.6,60.0
hypertension_past_mean,hypertension,-0.0005937940239255892,0.01303258703541101,0.6,61.0
urinary_infection_lag1,urinary_infection,-0.0006098064437408501,0.0010527553114498063,0.4,62.0
sleep_sufficient_past_mean,sleep_sufficient,-0.0006257701071571131,0.0018178373079871602,0.4,63.0
hypertension,hypertension,-0.0006752170464702178,0.0021850588779358483,0.4,64.0
bmi_current_past_mean,bmi,-0.0007701142917043201,0.009541116126717522,0.6,65.0
take_medicine_past_mean,take_medicine,-0.0008659388877144545,0.012161311106368611,0.4,66.0
water_sufficient,water_sufficient,-0.0009611676919963074,0.0014555467092652067,0.2,67.0
insulin,insulin,-0.0010431655179357758,0.00950955502169644,0.2,68.0
walk_regularly_past_mean,walk_regularly,-0.0012726027677795449,0.005043008650664486,0.8,69.0
bmi_current,bmi,-0.0014454978812039599,0.013923437346458761,0.6,70.0
zarda_betel,zarda_betel,-0.0017509283390080995,0.003874360009854337,0.4,71.0
bmi_current_lag1,bmi,-0.0017875455468911263,0.01097746389960556,0.6,72.0
smoke,smoke,-0.0018212776990169544,0.004717688027511407,0.2,73.0
calorie_intake,calorie_intake,-0.002011013395308607,0.01723334839066994,0.4,74.0
weight_kg_lag1,weight_kg,-0.0029986413867172314,0.019186706761559296,0.6,75.0
job,job,-0.003406769244842696,0.0027856426199841947,0.0,76.0
bmi_current_delta1,bmi,-0.003438220983118517,0.018740721242467,0.6,77.0
pain_killer_past_mean,pain_killer,-0.0037298367912144844,0.014570138292687941,0.6,78.0
bmi_current_past_min,bmi,-0.003957126048113257,0.010628425658159775,0.6,79.0
weight_kg_past_mean,weight_kg,-0.0058705054170855725,0.009731917937620582,0.4,80.0
