feature_family,mean_importance,std_importance
prior_visit_count,0.45218400864932057,0.04986909208208919
diabetic_year,0.16138666106946703,0.022890735225533844
calorie_intake,0.023637133730675337,0.028440950249955122
height_cm,0.020935926070109728,0.007594308841490842
follow_diet,0.017508089635457903,0.024875089159501977
weight_kg,0.013943591114360221,0.05563130571287623
urinary_infection,0.011185463666045031,0.016670546678860067
age,0.01010792924459972,0.023754847635617412
heart_disease,0.008557715160993079,0.014568494424694592
insulin,0.005720603251006234,0.034993794515800924
urination_proper,0.004723173143968862,0.00458380578013644
walk_regularly,0.004693050962303047,0.012478261784131918
take_medicine,0.0029702331558454434,0.019098755742810086
gender,0.0009755643155236849,0.002373104688185451
sleep_sufficient,0.00010251272181084538,0.006681689250522362
family_diabetes,8.272135722508828e-05,0.003812336587788722
bmi,-0.00031125303153382714,0.05968622697458591
smoke,-0.00043345121936555286,0.00844644320282874
pain_killer,-0.0006307754476745698,0.01609729054027149
zarda_betel,-0.0008075456394827654,0.005228183488464219
hypertension,-0.0011932122619302233,0.014632235174549339
water_sufficient,-0.0016485076178962953,0.001620674545351552
job,-0.003406769244842696,0.0027856426199841947
