outer_fold,feature,feature_family,mean_abs_shap,rank
1,gender,gender,0.028691158351180922,39.0
1,job,job,0.09204442713111038,21.0
1,family_diabetes,family_diabetes,0.010466016378334329,46.0
1,height_cm,height_cm,0.22111564042725745,7.0
1,diabetic_year,diabetic_year,1.0447127431090935,2.0
1,age,age,0.22731112042531892,6.0
1,weight_kg,weight_kg,0.1077148340031361,17.0
1,bmi_current,bmi,0.24923073236802526,5.0
1,follow_diet,follow_diet,0.05141594077623469,32.0
1,take_medicine,take_medicine,0.00461626069517919,51.0
1,insulin,insulin,0.17286102166058664,10.0
1,hypertension,hypertension,0.0,62.0
1,heart_disease,heart_disease,0.03084794898670312,37.0
1,sleep_sufficient,sleep_sufficient,0.0565894170270576,30.0
1,water_sufficient,water_sufficient,0.04092705976636692,36.0
1,smoke,smoke,0.04521226738315444,35.0
1,zarda_betel,zarda_betel,0.07948886112624474,22.0
1,walk_regularly,walk_regularly,0.15399831711175163,12.0
1,urination_proper,urination_proper,0.0007039219116745778,60.0
1,urinary_infection,urinary_infection,0.09879091431094646,19.0
1,pain_killer,pain_killer,0.004445390210282025,52.0
1,calorie_intake,calorie_intake,0.4784687395832897,3.0
1,prior_visit_count,prior_visit_count,1.2501789468779552,1.0
1,weight_kg_lag1,weight_kg,0.10627530804221381,18.0
1,weight_kg_delta1,weight_kg,0.013988660362993496,43.0
1,weight_kg_past_mean,weight_kg,0.06290048394610272,28.0
1,bmi_current_lag1,bmi,0.09484439717243526,20.0
1,bmi_current_delta1,bmi,0.253063706720657,4.0
1,bmi_current_past_mean,bmi,0.11681119355811102,13.0
1,calorie_intake_lag1,calorie_intake,0.029722063529847523,38.0
1,calorie_intake_delta1,calorie_intake,0.0,62.0
1,calorie_intake_past_mean,calorie_intake,0.0,62.0
1,follow_diet_lag1,follow_diet,0.0021703673280982737,57.0
1,follow_diet_delta1,follow_diet,0.06857334516810519,27.0
1,follow_diet_past_mean,follow_diet,0.05385559350968769,31.0
1,take_medicine_lag1,take_medicine,0.002815636468182898,56.0
1,take_medicine_delta1,take_medicine,0.0032115642079329067,54.0
1,take_medicine_past_mean,take_medicine,0.025374294406510896,40.0
1,insulin_lag1,insulin,0.0,62.0
1,insulin_delta1,insulin,0.012578709147160158,44.0
1,insulin_past_mean,insulin,0.04854285803703296,34.0
1,hypertension_lag1,hypertension,0.003165470976595276,55.0
1,hypertension_delta1,hypertension,0.0,62.0
1,hypertension_past_mean,hypertension,0.11328622349863837,14.0
1,heart_disease_lag1,heart_disease,0.07689728012223836,23.0
1,heart_disease_delta1,heart_disease,0.0,62.0
1,heart_disease_past_mean,heart_disease,0.020290912841295597,42.0
1,sleep_sufficient_lag1,sleep_sufficient,0.009946272300157185,47.0
1,sleep_sufficient_delta1,sleep_sufficient,0.0,62.0
1,sleep_sufficient_past_mean,sleep_sufficient,0.007564046199025526,49.0
1,water_sufficient_lag1,water_sufficient,0.010623915827812557,45.0
1,water_sufficient_delta1,water_sufficient,0.0,62.0
1,water_sufficient_past_mean,water_sufficient,0.0,62.0
1,smoke_lag1,smoke,0.003396796428415521,53.0
1,smoke_delta1,smoke,0.0,62.0
1,smoke_past_mean,smoke,0.0008901020268017642,59.0
1,zarda_betel_lag1,zarda_betel,0.0,62.0
1,zarda_betel_delta1,zarda_betel,0.0,62.0
1,zarda_betel_past_mean,zarda_betel,0.009518132747008296,48.0
1,walk_regularly_lag1,walk_regularly,0.0,62.0
1,walk_regularly_delta1,walk_regularly,0.0,62.0
1,walk_regularly_past_mean,walk_regularly,0.000305683709157188,61.0
1,urination_proper_lag1,urination_proper,0.07068954315552269,26.0
1,urination_proper_delta1,urination_proper,0.0,62.0
1,urination_proper_past_mean,urination_proper,0.0015520061244589183,58.0
1,urinary_infection_lag1,urinary_infection,0.0060305565966472996,50.0
1,urinary_infection_delta1,urinary_infection,0.0,62.0
1,urinary_infection_past_mean,urinary_infection,0.04886900463116313,33.0
1,pain_killer_lag1,pain_killer,0.07163714006890619,25.0
1,pain_killer_delta1,pain_killer,0.0,62.0
1,pain_killer_past_mean,pain_killer,0.06203258031784121,29.0
1,weight_kg_past_min,weight_kg,0.02285125643022063,41.0
1,weight_kg_past_max,weight_kg,0.11217741190844863,15.0
1,weight_kg_past_slope,weight_kg,0.19815959384154558,8.0
1,bmi_current_past_min,bmi,0.07288973468536272,24.0
1,bmi_current_past_max,bmi,0.1883370810454352,9.0
1,bmi_current_past_slope,bmi,0.15507996319986975,11.0
1,calorie_intake_past_min,calorie_intake,0.0,62.0
1,calorie_intake_past_max,calorie_intake,0.0,62.0
1,calorie_intake_past_slope,calorie_intake,0.1092967367789225,16.0
2,gender,gender,0.014891833940117295,53.0
2,job,job,0.02285503157457543,47.0
2,family_diabetes,family_diabetes,0.01720887076312221,49.0
2,height_cm,height_cm,0.4586407361300617,7.0
2,diabetic_year,diabetic_year,0.9888288988187413,2.0
2,age,age,0.5036922614451151,4.0
2,weight_kg,weight_kg,0.13352926520809694,20.0
2,bmi_current,bmi,0.123978868651485,21.0
2,follow_diet,follow_diet,0.027093054142514846,45.0
2,take_medicine,take_medicine,0.015741350183376898,50.0
2,insulin,insulin,0.03009738277472762,42.0
2,hypertension,hypertension,0.008926175170877989,58.0
2,heart_disease,heart_disease,0.02594739480030088,46.0
2,sleep_sufficient,sleep_sufficient,0.02864359979668921,44.0
2,water_sufficient,water_sufficient,0.021333135287646975,48.0
2,smoke,smoke,0.009603322238677818,57.0
2,zarda_betel,zarda_betel,0.0007768833336219385,66.0
2,walk_regularly,walk_regularly,0.1532438519934405,18.0
2,urination_proper,urination_proper,0.0007488574182020232,67.0
2,urinary_infection,urinary_infection,0.006786978258698615,59.0
2,pain_killer,pain_killer,0.004197251368389734,62.0
2,calorie_intake,calorie_intake,0.18770977461209057,14.0
2,prior_visit_count,prior_visit_count,1.7568310035261792,1.0
2,weight_kg_lag1,weight_kg,0.08181453179008835,27.0
2,weight_kg_delta1,weight_kg,0.05506269982980104,33.0
2,weight_kg_past_mean,weight_kg,0.17842595186860913,15.0
2,bmi_current_lag1,bmi,0.1220547188500262,22.0
2,bmi_current_delta1,bmi,0.5515191163006592,3.0
2,bmi_current_past_mean,bmi,0.11245527260691238,24.0
2,calorie_intake_lag1,calorie_intake,0.4742447341985571,6.0
2,calorie_intake_delta1,calorie_intake,0.0,69.0
2,calorie_intake_past_mean,calorie_intake,0.06608714320303107,29.0
2,follow_diet_lag1,follow_diet,0.004300131646492172,61.0
2,follow_diet_delta1,follow_diet,0.08989299653510821,26.0
2,follow_diet_past_mean,follow_diet,0.11851246390713917,23.0
2,take_medicine_lag1,take_medicine,0.0411508683532676,38.0
2,take_medicine_delta1,take_medicine,0.0481786938870991,34.0
