feature_family,mean_abs_shap,std_abs_shap,family_rank
prior_visit_count,1.4381782090722126,0.5424689816725511,1.0
bmi,1.2753512119673218,0.43975610309123137,2.0
diabetic_year,1.214793567474109,0.6290245644151572,3.0
weight_kg,1.0117487915332217,0.5514303637017866,4.0
calorie_intake,0.8844201496984357,0.2723802038513266,5.0
age,0.3637571089530392,0.1913031815854196,6.0
insulin,0.2827982189317206,0.16461793511994108,7.0
urinary_infection,0.2661204738013478,0.12992774075034222,8.0
follow_diet,0.2587552749284944,0.12469595691041079,9.0
height_cm,0.23802606448489677,0.13276787282128563,10.0
walk_regularly,0.21004474209873297,0.1729259313811621,11.0
heart_disease,0.20356143166457516,0.055473444942019515,12.0
pain_killer,0.14194806677529778,0.10412946373423206,13.0
hypertension,0.12435093553088708,0.07241066773209331,14.0
take_medicine,0.10961396216931725,0.059130067961474075,15.0
zarda_betel,0.08080380217784358,0.07347039953108564,16.0
urination_proper,0.05533485906742806,0.024716207691889487,17.0
sleep_sufficient,0.05492573853086465,0.018762588371833967,18.0
water_sufficient,0.05325059161882388,0.028169792810729958,19.0
job,0.04996850098147435,0.03512032397856675,20.0
smoke,0.04851874575084005,0.035968462602973976,21.0
gender,0.03562991517916787,0.03147892032409467,22.0
family_diabetes,0.034512857451734845,0.03110536845648704,23.0
