feature_1,feature_2,mean_abs_interaction,std_abs_interaction,median_rank,top_twenty_frequency
diabetic_year,prior_visit_count,0.30677299805007546,0.11132664641822183,1.0,1.0
diabetic_year,age,0.07481796229177629,0.049713838769716995,5.0,1.0
prior_visit_count,bmi_current_delta1,0.05598303465539989,0.02708271790074586,6.0,1.0
diabetic_year,calorie_intake_past_slope,0.0893388845984006,0.035534860327207006,4.0,0.8
diabetic_year,weight_kg_past_slope,0.04327829474169724,0.02485926549323206,11.0,0.6
age,calorie_intake_past_slope,0.043241103427216786,0.025765726580169394,20.0,0.6
height_cm,prior_visit_count,0.038906068927612655,0.01848133208952135,15.0,0.6
prior_visit_count,calorie_intake_past_slope,0.038557035268308185,0.022062166120061615,13.0,0.6
age,bmi_current_delta1,0.03608086620400347,0.021424927462768934,19.0,0.6
diabetic_year,calorie_intake,0.035456909389075385,0.018426536785229895,20.0,0.6
diabetic_year,bmi_current_past_max,0.03282777265745745,0.004185471510731203,16.0,0.6
height_cm,bmi_current_delta1,0.046552723383517014,0.04531030952400757,41.0,0.4
prior_visit_count,urinary_infection_past_mean,0.04572290048532474,0.037029281373103656,23.0,0.4
diabetic_year,bmi_current_delta1,0.0369195805239273,0.01943785282966454,22.0,0.4
height_cm,diabetic_year,0.03506539709644736,0.019910418840955464,32.0,0.4
prior_visit_count,bmi_current_past_slope,0.03465461356208611,0.013509834684934436,26.0,0.4
prior_visit_count,bmi_current_past_max,0.0319600050944462,0.008872194864241213,32.0,0.4
diabetic_year,insulin_past_mean,0.03141779896759711,0.02604631888507485,43.0,0.4
prior_visit_count,insulin_past_mean,0.031043041794633897,0.019561870903833316,55.0,0.4
bmi_current,prior_visit_count,0.02910874844935596,0.009857697036469132,35.0,0.4
urinary_infection,prior_visit_count,0.02848381855216462,0.029958979305200455,39.0,0.4
bmi_current_past_min,bmi_current_past_max,0.027566515176441937,0.02398847147379366,32.0,0.4
walk_regularly,prior_visit_count,0.022542638031075264,0.022078067738185717,125.0,0.4
weight_kg,calorie_intake_past_slope,0.02000637174260376,0.010511233664254611,65.0,0.4
weight_kg_past_slope,bmi_current_past_slope,0.03910823288354477,0.037574294158280314,33.0,0.2
age,prior_visit_count,0.03451243856760265,0.016777255986055045,24.0,0.2
prior_visit_count,weight_kg_past_slope,0.02997408510582451,0.011562761348714989,30.0,0.2
diabetic_year,weight_kg,0.02785801349626149,0.007700156200659403,35.0,0.2
height_cm,age,0.027372252444063112,0.020597618750578108,43.0,0.2
diabetic_year,bmi_current,0.02723894142302986,0.002434753038655637,29.0,0.2
bmi_current_delta1,calorie_intake_past_slope,0.027023653201633885,0.011025221976609476,36.0,0.2
diabetic_year,walk_regularly,0.026866065751951967,0.017604410180726608,44.0,0.2
bmi_current_past_max,calorie_intake_past_slope,0.026215198933049817,0.013580051620333069,38.0,0.2
calorie_intake,bmi_current_delta1,0.026081442244478014,0.02052451833300783,66.0,0.2
calorie_intake,prior_visit_count,0.025714422229194116,0.0060352631527159206,37.0,0.2
prior_visit_count,follow_diet_past_mean,0.024776960673900977,0.01966313872630128,78.0,0.2
heart_disease,prior_visit_count,0.024513083319667325,0.018947858255620727,37.0,0.2
walk_regularly,calorie_intake_past_slope,0.02281772079194975,0.016689761648524634,61.0,0.2
diabetic_year,weight_kg_past_mean,0.02179371359716643,0.010888445133528267,79.0,0.2
weight_kg_lag1,weight_kg_past_mean,0.02174615905015733,0.030999809730655973,124.0,0.2
weight_kg,weight_kg_lag1,0.020622422583309895,0.023519906678679776,138.0,0.2
bmi_current_delta1,weight_kg_past_slope,0.020457111157167966,0.012176016352277127,64.0,0.2
follow_diet,prior_visit_count,0.020176325585926098,0.023445639818620394,155.0,0.2
diabetic_year,insulin,0.019148481485137932,0.02048370659613665,59.0,0.2
weight_kg_past_min,weight_kg_past_max,0.01882825170977015,0.021873331722623787,99.0,0.2
diabetic_year,urinary_infection,0.016621539388790053,0.010709679581046143,57.0,0.2
weight_kg_past_mean,calorie_intake_lag1,0.016176873711587065,0.031633793113299585,373.0,0.2
bmi_current_delta1,calorie_intake_lag1,0.016150618323298817,0.025808531436340917,211.0,0.2
weight_kg_lag1,weight_kg_past_max,0.015115784959075928,0.02222599930731135,258.0,0.2
urinary_infection,calorie_intake_past_slope,0.014674449487841346,0.023203069201108335,172.0,0.2
age,hypertension_lag1,0.013872950486345782,0.016951513614615322,428.0,0.2
diabetic_year,heart_disease,0.012525548913848512,0.012219502287395366,138.0,0.2
bmi_current,calorie_intake,0.010911271201717507,0.008864451577296789,176.0,0.2
age,weight_kg_delta1,0.00950606627822401,0.012401979035841278,346.0,0.2
heart_disease,bmi_current_past_max,0.008753716721882885,0.011561160544686538,317.0,0.2
calorie_intake,pain_killer_lag1,0.008095278043661131,0.013722590641141076,609.0,0.2
job,calorie_intake,0.008073463589012972,0.014793524134630639,650.0,0.2
prior_visit_count,sleep_sufficient_past_mean,0.006664119016053118,0.011694598717401335,666.0,0.2
bmi_current_lag1,bmi_current_past_max,0.026511506060657285,0.01619589286776884,39.0,0.0
weight_kg,prior_visit_count,0.023631225424030393,0.00792296308481491,45.0,0.0
weight_kg_lag1,calorie_intake_past_slope,0.0217224737107051,0.01659376415329786,63.0,0.0
bmi_current,bmi_current_past_max,0.021259996150443095,0.010046292674178597,46.0,0.0
prior_visit_count,hypertension_past_mean,0.021028057728788314,0.008769846828449496,75.0,0.0
height_cm,weight_kg_past_slope,0.020495802944842205,0.011827003625255522,74.0,0.0
weight_kg_past_slope,calorie_intake_past_slope,0.019824813123022533,0.010829851313954158,85.0,0.0
height_cm,urinary_infection_past_mean,0.019760296430027077,0.018086939441976556,54.0,0.0
weight_kg_past_mean,calorie_intake_past_slope,0.01927670353967239,0.015918024814493444,80.0,0.0
calorie_intake,bmi_current_past_max,0.01924333969152328,0.005380456697640183,35.0,0.0
diabetic_year,hypertension_past_mean,0.017897616089258182,0.015896579640053445,104.0,0.0
diabetic_year,bmi_current_past_slope,0.01772116255634983,0.009745311346250597,63.0,0.0
prior_visit_count,bmi_current_lag1,0.017543286474035743,0.010957677491565669,103.0,0.0
age,walk_regularly,0.01744271482028446,0.013677012656607646,81.0,0.0
