variable,count,value_one_count,value_one_proportion
gender,3399,1240,0.3648131803471609
job,3399,4369,1.2853780523683436
family_diabetes,3399,1460,0.42953809944101207
follow_diet,3399,2624,0.7719917622830245
take_medicine,3399,2563,0.7540453074433657
insulin,3399,1780,0.5236834363047955
hypertension,3399,985,0.2897911150338335
heart_disease,3399,791,0.23271550456016477
sleep_sufficient,3399,1991,0.5857605177993528
water_sufficient,3399,3105,0.913503971756399
smoke,3399,458,0.1347455133862901
zarda_betel,3399,855,0.25154457193292146
walk_regularly,3399,2139,0.6293027360988526
urination_proper,3399,2906,0.8549573403942335
urinary_infection,3399,782,0.23006766696087083
pain_killer,3399,991,0.2915563401000294
