model,role,PR AUC mean and standard deviation,PR AUC pooled OOF,PR AUC 95 percent CI,ROC AUC mean and standard deviation,F1 mean and standard deviation,MCC mean and standard deviation,Sensitivity mean and standard deviation,Specificity mean and standard deviation,Balanced accuracy mean and standard deviation,Brier mean and standard deviation,Selected
lightgbm,main,0.5447 ± 0.0352,0.5209,0.4429 to 0.6005,0.8930 ± 0.0179,0.5726 ± 0.0635,0.5492 ± 0.0654,0.5946 ± 0.0811,0.9723 ± 0.0081,0.7835 ± 0.0400,0.0406 ± 0.0035,True
catboost,main,0.5755 ± 0.0369,0.5499,0.4692 to 0.6257,0.9008 ± 0.0142,0.5748 ± 0.0535,0.5504 ± 0.0565,0.5784 ± 0.0622,0.9751 ± 0.0032,0.7767 ± 0.0320,0.0544 ± 0.0122,False
xgboost,main,0.5729 ± 0.0404,0.5702,0.4984 to 0.6430,0.8998 ± 0.0298,0.5723 ± 0.0340,0.5524 ± 0.0324,0.5459 ± 0.0750,0.9795 ± 0.0063,0.7627 ± 0.0348,0.0441 ± 0.0034,False
random_forest,main,0.5355 ± 0.0386,0.5010,0.4218 to 0.5821,0.9055 ± 0.0098,0.5843 ± 0.0456,0.5621 ± 0.0472,0.5676 ± 0.0604,0.9785 ± 0.0037,0.7731 ± 0.0300,0.0452 ± 0.0084,False
hist_gradient_boosting,exploratory,0.5349 ± 0.0497,0.5321,0.4551 to 0.6068,0.9028 ± 0.0139,0.5775 ± 0.0504,0.5538 ± 0.0530,0.5730 ± 0.0554,0.9763 ± 0.0041,0.7747 ± 0.0283,0.0644 ± 0.0079,False
extra_trees,exploratory,0.5088 ± 0.0801,0.4536,0.3841 to 0.5334,0.8781 ± 0.0072,0.4928 ± 0.0314,0.4690 ± 0.0314,0.5459 ± 0.1071,0.9614 ± 0.0186,0.7537 ± 0.0452,0.0558 ± 0.0215,False
svm_rbf,main,0.4392 ± 0.1001,0.4205,0.3517 to 0.4982,0.8529 ± 0.0180,0.4355 ± 0.0422,0.4067 ± 0.0491,0.5135 ± 0.0896,0.9511 ± 0.0161,0.7323 ± 0.0393,0.0408 ± 0.0027,False
decision_tree,main,0.4307 ± 0.0310,0.4650,0.3874 to 0.5437,0.8542 ± 0.0643,0.5760 ± 0.0362,0.5561 ± 0.0406,0.5514 ± 0.0622,0.9792 ± 0.0065,0.7653 ± 0.0293,0.1118 ± 0.0052,False
logistic_regression,main,0.3869 ± 0.0808,0.3704,0.3131 to 0.4346,0.8496 ± 0.0193,0.3819 ± 0.0396,0.3556 ± 0.0480,0.4973 ± 0.1412,0.9356 ± 0.0329,0.7164 ± 0.0567,0.1500 ± 0.0072,False
mlp,main,0.3174 ± 0.0319,0.3023,0.2450 to 0.3739,0.7947 ± 0.0308,0.3022 ± 0.0367,0.2719 ± 0.0248,0.3081 ± 0.0986,0.9599 ± 0.0218,0.6340 ± 0.0389,0.0732 ± 0.0105,False
time_only_logistic,baseline,0.1305 ± 0.0294,0.1032,0.0907 to 0.1266,0.6899 ± 0.0174,0.1695 ± 0.0212,0.1348 ± 0.0314,0.5892 ± 0.0884,0.6851 ± 0.0793,0.6372 ± 0.0309,0.2271 ± 0.0264,False
dummy,baseline,0.0582 ± 0.0082,0.0554,0.0489 to 0.0629,0.5074 ± 0.0339,0.1077 ± 0.0390,0.0256 ± 0.0509,0.6486 ± 0.4835,0.3792 ± 0.5193,0.5139 ± 0.0283,0.0983 ± 0.0057,False
