feature,feature_family,mean_abs_shap,std_abs_shap,median_rank,top_ten_frequency,permutation_rank,mean_importance,agreement_top_ten
prior_visit_count,prior_visit_count,1.4381782090722126,0.5424689816725511,1.0,1.0,1.0,0.45218400864932057,True
diabetic_year,diabetic_year,1.214793567474109,0.6290245644151572,2.0,1.0,2.0,0.16138666106946703,True
calorie_intake_past_slope,calorie_intake,0.37220437106321347,0.15707666305240126,5.0,0.8,3.0,0.02504369344250451,True
age,age,0.3637571089530392,0.1913031815854196,5.0,1.0,6.0,0.01010792924459972,True
bmi_current_past_max,bmi,0.33552275539857784,0.14373655669165297,4.0,1.0,7.0,0.008326929597650959,True
calorie_intake,calorie_intake,0.33249028635414085,0.1518314297559297,5.0,0.8,74.0,-0.002011013395308607,False
bmi_current_delta1,bmi,0.2848287628724361,0.16554871816784827,7.0,1.0,77.0,-0.003438220983118517,False
height_cm,height_cm,0.23802606448489677,0.13276787282128563,10.0,0.8,4.0,0.020935926070109728,True
weight_kg_past_slope,weight_kg,0.23701562865101305,0.13558173498318746,9.0,0.6,15.0,0.0048910245317072484,False
walk_regularly,walk_regularly,0.19205565367977215,0.16507494952902166,14.0,0.2,13.0,0.0053976096122412606,False
bmi_current,bmi,0.16117963829735665,0.06401253974051369,15.0,0.2,70.0,-0.0014454978812039599,False
weight_kg,weight_kg,0.15934373848475503,0.058002825327394425,14.0,0.2,9.0,0.007577302052013848,False
bmi_current_past_slope,bmi,0.15549073115758244,0.07756694253651077,18.0,0.0,19.0,0.0027603221218463923,False
calorie_intake_lag1,calorie_intake,0.1514957095042126,0.18236629327915252,20.0,0.2,37.0,0.00024387381140188457,False
urinary_infection_past_mean,urinary_infection,0.15024228479065377,0.13445119949382495,22.0,0.2,8.0,0.007578386683942241,False
weight_kg_past_mean,weight_kg,0.146940780437795,0.07064439092647251,15.0,0.2,80.0,-0.0058705054170855725,False
weight_kg_lag1,weight_kg,0.14344375560099443,0.15481219483922395,24.0,0.2,75.0,-0.0029986413867172314,False
weight_kg_past_max,weight_kg,0.13708424966398347,0.09161155598034992,15.0,0.0,11.0,0.006663180714371794,False
insulin_past_mean,insulin,0.1361010539231649,0.08171629533824462,21.0,0.0,14.0,0.004937228022206483,False
follow_diet_delta1,follow_diet,0.12467729999391482,0.06052027233885378,22.0,0.0,5.0,0.012171946681000634,False
weight_kg_past_min,weight_kg,0.1230936196182832,0.0983486480114141,19.0,0.0,20.0,0.002051613693345231,False
heart_disease,heart_disease,0.12290358470874885,0.0936777307309827,26.0,0.4,10.0,0.006762372583657245,False
bmi_current_past_mean,bmi,0.11901140130864782,0.06807054952663263,20.0,0.0,65.0,-0.0007701142917043201,False
bmi_current_lag1,bmi,0.11585955642675572,0.07619458429902828,22.0,0.0,72.0,-0.0017875455468911263,False
insulin,insulin,0.11438253154985409,0.1037791434946184,17.0,0.2,68.0,-0.0010431655179357758,False
bmi_current_past_min,bmi,0.10345836650596525,0.045238759179874945,25.0,0.0,79.0,-0.003957126048113257,False
urinary_infection,urinary_infection,0.10128986388248955,0.08578175498774698,19.0,0.0,16.0,0.00421688342584364,False
pain_killer_past_mean,pain_killer,0.08186778638704527,0.07427494726344343,29.0,0.0,78.0,-0.0037298367912144844,False
follow_diet_past_mean,follow_diet,0.07716973975679879,0.03551829057585352,30.0,0.0,12.0,0.005613654513496024,False
weight_kg_delta1,weight_kg,0.06482701907639768,0.04132156638243469,33.0,0.0,23.0,0.0016296169267249016,False
hypertension_past_mean,hypertension,0.06406035912732314,0.035752609590836086,34.0,0.0,61.0,-0.0005937940239255892,False
heart_disease_lag1,heart_disease,0.06049688264381394,0.07057754725794554,42.0,0.0,40.0,8.664193029956685e-05,False
zarda_betel,zarda_betel,0.06023216297622343,0.07686582826160168,35.0,0.0,71.0,-0.0017509283390080995,False
take_medicine_past_mean,take_medicine,0.05610758353573503,0.022436544470451417,31.0,0.0,66.0,-0.0008659388877144545,False
job,job,0.04996850098147435,0.03512032397856675,35.0,0.0,76.0,-0.003406769244842696,False
follow_diet,follow_diet,0.04886442037459225,0.049837885228433076,37.0,0.0,60.0,-0.0004959068593712358,False
hypertension_lag1,hypertension,0.04763098761864874,0.059932103459341794,41.0,0.0,39.0,0.0001235408891949708,False
pain_killer_lag1,pain_killer,0.03899366773289264,0.020987382023120747,34.0,0.0,22.0,0.0016631931668324904,False
gender,gender,0.03562991517916787,0.03147892032409467,39.0,0.0,27.0,0.0009755643155236849,False
family_diabetes,family_diabetes,0.034512857451734845,0.03110536845648704,46.0,0.0,41.0,8.272135722508828e-05,False
urination_proper_lag1,urination_proper,0.03334767576346415,0.024364979557117618,41.0,0.0,17.0,0.003466316053002405,False
sleep_sufficient,sleep_sufficient,0.03099657019718997,0.014677984631055914,42.0,0.0,29.0,0.000789411087569818,False
water_sufficient_lag1,water_sufficient,0.02930866038497324,0.023241249183076716,38.0,0.0,59.0,-0.0004847525557722698,False
smoke_past_mean,smoke,0.027264711495127623,0.03451636489947317,59.0,0.0,28.0,0.0009556626337236661,False
insulin_delta1,insulin,0.02605207039911246,0.019038116662619932,42.0,0.0,24.0,0.0015416888895459203,False
