feature,perm_importance,perm_std,perm_rank
pus_cells,0.04962717919155925,0.01839318214590747,1
albumin,0.024646427261293385,0.010887198778205614,2
red_cells,0.016590023757118422,0.0047681806320112805,3
bacteria,0.015380987317891236,0.0047985238325066,4
co,0.011569290867484209,0.007180288246688639,5
mt,0.004652552143381208,0.0016032470611898832,6
kb,0.003254572371868765,0.001717515063846871,7
bpigment,0.0032214914579184553,0.001504380651935035,8
sugar,0.002440836477657835,0.0014166453169381194,9
gc,0.0017596316773224395,0.001632090841512968,10
ph,0.0013498104671068756,0.0009616534004816142,11
u_clarity,0.0011627886664570687,0.0029683823073425155,12
cc,0.0011582250288229878,0.0007975043697090957,13
blood,0.0010114898857562138,0.002245458159993269,14
sp_g,0.000857701848164083,0.0017203008285825185,15
epi_cells,0.0008471770953429302,0.0011459763535761412,16
age,0.0005114986199909199,0.0028278979298977116,17
glucose,0.00017857142857143462,0.0002603103524484569,18
ur_bi,0.0001337211333543009,0.00019635657500075137,19
gender,-0.00016203097159626754,0.002246855365640453,20
