stage,dataset,model,seed,elapsed_seconds
nested_cv,Dataset1_Urinalysis,logreg,0,9.546952962875366
nested_cv,Dataset1_Urinalysis,logreg,1,9.484580516815186
nested_cv,Dataset1_Urinalysis,logreg,2,9.424829006195068
nested_cv,Dataset1_Urinalysis,decision_tree,0,6.0923991203308105
nested_cv,Dataset1_Urinalysis,decision_tree,1,6.04109263420105
nested_cv,Dataset1_Urinalysis,decision_tree,2,5.962008476257324
nested_cv,Dataset1_Urinalysis,random_forest,0,138.53202033042908
nested_cv,Dataset1_Urinalysis,random_forest,1,134.49584007263184
nested_cv,Dataset1_Urinalysis,random_forest,2,117.0351734161377
nested_cv,Dataset1_Urinalysis,xgboost,0,46.41948413848877
nested_cv,Dataset1_Urinalysis,xgboost,1,50.648051500320435
nested_cv,Dataset1_Urinalysis,xgboost,2,50.17788600921631
nested_cv,Dataset1_Urinalysis,lightgbm,0,31.923168182373047
nested_cv,Dataset1_Urinalysis,lightgbm,1,32.007834672927856
nested_cv,Dataset1_Urinalysis,lightgbm,2,32.32300567626953
nested_cv,Dataset1_Urinalysis,catboost,0,515.9511063098907
nested_cv,Dataset1_Urinalysis,catboost,1,417.1912679672241
nested_cv,Dataset1_Urinalysis,catboost,2,558.0837652683258
nested_cv,Dataset1_Urinalysis,svm,0,9.88213562965393
nested_cv,Dataset1_Urinalysis,svm,1,10.053977966308594
nested_cv,Dataset1_Urinalysis,svm,2,9.836309671401978
nested_cv,Dataset1_Urinalysis,mlp,0,35.540690898895264
nested_cv,Dataset1_Urinalysis,mlp,1,31.996479034423828
nested_cv,Dataset1_Urinalysis,mlp,2,35.40578365325928
