feature,mean_abs_shap,std_abs_shap,median_rank,top10_frequency,mean_signed_shap,category
pus_cells,0.14039807395302778,0.007238434375874519,1.0,1.0,0.026121933865354628,Urinalysis
albumin,0.10449465120863333,0.016802403755497724,2.0,1.0,0.025119769789252667,Urinalysis
bacteria,0.07313301244880452,0.009857888464957203,3.0,1.0,0.005677558165275589,Urinalysis
red_cells,0.05601775597549763,0.008069062918875899,4.0,1.0,0.006273368516358036,Urinalysis
co,0.04768951595795946,0.010939330062288886,5.0,1.0,0.00595947303432325,Urinalysis
age,0.027878967809827244,0.007163406721032506,8.0,1.0,0.007032383960345551,Demographic
gc,0.027537104582972465,0.0030246208388829154,6.0,1.0,0.0009444602476040721,Urinalysis
u_clarity,0.023315457912956167,0.004310320017464164,8.0,1.0,0.0048731219158878155,Urinalysis
mt,0.02265351799728792,0.003793076783709847,8.0,0.8,0.0023053238527419666,Urinalysis
bpigment,0.018473930772353167,0.002510576624335895,10.0,0.6,0.0006506033004230086,Urinalysis
kb,0.01731318802838316,0.002591392067737787,11.0,0.4,9.91481094746588e-06,Urinalysis
ph,0.01661781393660062,0.004336249429191156,14.0,0.2,0.002970182957436107,Urinalysis
epi_cells,0.014256392877069635,0.003124594884181217,13.0,0.0,0.001850087110920335,Urinalysis
blood,0.012807474180108136,0.0024634737045824183,15.0,0.0,-0.00010048773185738512,Urinalysis
sp_g,0.012191165138423802,0.0016992029880606699,14.0,0.0,0.0036113804189838146,Urinalysis
sugar,0.011386870530537366,0.004108492439531204,15.0,0.0,-0.00033636464815747183,Urinalysis
gender,0.00659252499391023,0.003238725363153067,17.0,0.0,0.0015089269286243851,Demographic
cc,0.004671036305712839,0.001522421012093005,18.0,0.0,-0.00027594254383659495,Urinalysis
ur_bi,0.0021281189129279143,0.000688683867595519,19.0,0.0,-0.00038824261843214584,Urinalysis
glucose,0.00048222054744903353,0.00026535346507745785,20.0,0.0,-7.153593795317007e-05,Urinalysis
