feature,category,mean|SHAP|,shap_rank,SHAP median rank,top-10 freq,permutation rank,mean signed SHAP
pus_cells,Urinalysis,0.14039807395302778,1,1.0,1.0,1,0.026121933865354628
albumin,Urinalysis,0.10449465120863333,2,2.0,1.0,2,0.025119769789252667
bacteria,Urinalysis,0.07313301244880452,3,3.0,1.0,4,0.005677558165275589
red_cells,Urinalysis,0.05601775597549763,4,4.0,1.0,3,0.006273368516358036
co,Urinalysis,0.04768951595795946,5,5.0,1.0,5,0.00595947303432325
age,Demographic,0.027878967809827244,6,8.0,1.0,17,0.007032383960345551
gc,Urinalysis,0.027537104582972465,7,6.0,1.0,10,0.0009444602476040721
u_clarity,Urinalysis,0.023315457912956167,8,8.0,1.0,12,0.0048731219158878155
mt,Urinalysis,0.02265351799728792,9,8.0,0.8,6,0.0023053238527419666
bpigment,Urinalysis,0.018473930772353167,10,10.0,0.6,8,0.0006506033004230086
