Feature,Mean_Permutation_Importance,SD_Permutation_Importance,Permutation_Rank
Age_Diff,0.3809797266868699,0.04680396070057723,1
Diabetic_Year,0.055320047561220866,0.027134827863493534,2
Height,0.04647464193643673,0.01798477097548899,3
Weight_Diff,0.03838893335998626,0.013476129778397492,4
Take_Insulin,0.01678413375687323,0.004598356631135295,5
Age_Diabetes,0.016318524749959307,0.008876178243122854,6
Calorie_Intake,0.015385360799536446,0.015395366783686179,7
BMI_Diabetes,0.014444161592472743,0.014180602177311262,8
Walk_Regularly,0.010421474312335073,0.010571684526601217,9
Age,0.010089924084455696,0.006072023882542237,10
Heart_Disease,0.008831777521739808,0.004592225364977434,11
Urinary_Infection,0.008743073394541168,0.013631670415991474,12
Gender,0.0072302434595314605,0.009255182992716089,13
Weight,0.004057222843799939,0.0044220606900089296,14
BMI_per_Year,0.003924660870972389,0.006358170779524944,15
Average_Weight,0.0029896508506378253,0.009052082269756557,16
Pain_killer,0.0027019786820864423,0.009120232851037904,17
Take_Medicine_for_Diabetes,0.0016482737275726814,0.005140699943038517,18
Treatment_Score,0.0007530012408574228,0.00678357128861914,19
Sleep,0.0005816901273241893,0.0030832602697468134,20
Average_Age,3.268581529131051e-05,0.012801733012562261,21
Hypertension,-0.00024528666572654615,0.0022253879999032436,22
Smoke,-0.00036420752364492724,0.0023787917571005293,23
BMI,-0.0003866466406689823,0.018638828158547047,24
Family_Background_of_Diabetes,-0.0005163457785918171,0.007204998394754515,25
Job,-0.0007691911487685057,0.003749911524028232,26
Lifestyle_Score,-0.001098411106417433,0.006762045853932184,27
Risk_Score,-0.0015336278384795623,0.005692657924130906,28
Zarda_Betel_Leaf,-0.0019226187895385227,0.004117287592560317,29
Urination_Properly,-0.002129791305794329,0.005180325587550099,30
Follow_suggested_Diet,-0.002161330541062141,0.0028066249677919015,31
Current_BMI,-0.003888235642688537,0.009820725169351955,32
Water_Consumption,-0.004347564909321107,0.004331288315603959,33
