Feature_1,Feature_2,Median_Rank,Mean_Rank,Top10_Folds
albumin,co,1.0,1.0,5
albumin,pus_cells,2.0,2.0,5
age,albumin,6.0,6.6,5
albumin,bacteria,6.0,5.4,5
albumin,red_cells,9.0,7.6,5
age,pus_cells,5.0,6.4,4
pus_cells,co,8.0,8.4,4
pus_cells,red_cells,9.0,9.0,4
red_cells,bacteria,8.0,9.0,3
pus_cells,bacteria,11.0,9.2,2
u_clarity,albumin,12.0,13.2,2
sp_g,pus_cells,13.0,20.2,2
bpigment,pus_cells,15.0,15.0,1
age,red_cells,17.0,21.0,1
ph,albumin,27.0,29.2,1
pus_cells,epi_cells,32.0,30.8,1
sugar,pus_cells,16.0,15.2,0
mt,co,17.0,18.8,0
co,bacteria,18.0,17.6,0
u_clarity,pus_cells,19.0,26.4,0
ph,pus_cells,19.0,18.2,0
ph,co,20.0,20.8,0
age,co,22.0,27.6,0
sp_g,albumin,25.0,30.4,0
sp_g,co,25.0,36.6,0
ph,bacteria,26.0,38.4,0
red_cells,mt,30.0,31.2,0
age,bacteria,33.0,33.6,0
albumin,mt,33.0,31.6,0
kb,red_cells,33.0,37.6,0
red_cells,co,33.0,38.2,0
bpigment,bacteria,34.0,41.4,0
sp_g,red_cells,35.0,45.6,0
epi_cells,bacteria,35.0,34.2,0
u_clarity,red_cells,36.0,50.4,0
pus_cells,mt,36.0,34.6,0
blood,bacteria,37.0,41.6,0
kb,pus_cells,38.0,36.2,0
pus_cells,cc,39.0,34.8,0
albumin,gc,40.0,35.0,0
pus_cells,gc,40.0,36.6,0
gc,bacteria,40.0,42.0,0
red_cells,gc,41.0,38.8,0
kb,bacteria,42.0,41.4,0
bpigment,red_cells,43.0,42.0,0
co,gc,44.0,45.6,0
age,u_clarity,47.0,59.6,0
gender,pus_cells,47.0,47.4,0
u_clarity,ph,48.0,45.2,0
u_clarity,bacteria,51.0,52.6,0
albumin,blood,51.0,56.8,0
blood,pus_cells,53.0,56.2,0
epi_cells,co,53.0,60.6,0
age,mt,54.0,52.2,0
bpigment,co,54.0,54.4,0
gender,bacteria,57.0,60.0,0
u_clarity,co,57.0,55.0,0
albumin,epi_cells,58.0,61.6,0
ph,red_cells,59.0,57.6,0
mt,bacteria,60.0,57.8,0
albumin,kb,61.0,59.8,0
albumin,sugar,62.0,63.0,0
albumin,bpigment,63.0,58.6,0
sugar,bacteria,65.0,72.2,0
gender,albumin,66.0,68.8,0
gender,red_cells,66.0,56.6,0
red_cells,epi_cells,66.0,68.6,0
kb,co,67.0,67.0,0
age,ph,68.0,72.4,0
ph,bpigment,70.0,70.6,0
epi_cells,mt,70.0,66.8,0
red_cells,cc,71.0,72.0,0
age,gender,73.0,87.8,0
sp_g,mt,73.0,75.0,0
u_clarity,sp_g,75.0,86.0,0
u_clarity,bpigment,75.0,90.8,0
ph,mt,75.0,72.6,0
age,kb,76.0,83.4,0
sp_g,bacteria,77.0,75.4,0
gender,ph,79.0,84.0,0
blood,gc,79.0,74.8,0
age,sp_g,80.0,73.0,0
age,gc,80.0,73.2,0
age,bpigment,82.0,80.2,0
sugar,red_cells,85.0,84.2,0
u_clarity,epi_cells,86.0,91.0,0
kb,gc,86.0,95.4,0
albumin,cc,87.0,91.8,0
sp_g,bpigment,88.0,101.8,0
sp_g,gc,88.0,90.0,0
blood,co,90.0,87.6,0
gender,sp_g,93.0,105.0,0
u_clarity,mt,93.0,97.0,0
sugar,co,93.0,96.2,0
mt,gc,94.0,94.0,0
age,sugar,96.0,94.6,0
ph,epi_cells,96.0,95.8,0
u_clarity,blood,97.0,100.2,0
ph,sp_g,97.0,98.4,0
age,cc,99.0,103.8,0
bpigment,gc,99.0,89.6,0
age,epi_cells,101.0,84.4,0
bpigment,epi_cells,102.0,98.0,0
kb,epi_cells,104.0,103.2,0
blood,mt,104.0,110.8,0
gender,co,105.0,96.0,0
ph,kb,106.0,105.2,0
sugar,kb,107.0,116.4,0
bpigment,mt,109.0,112.6,0
epi_cells,gc,109.0,107.8,0
albumin,ur_bi,111.0,117.0,0
ph,gc,112.0,111.6,0
blood,red_cells,112.0,106.6,0
sp_g,sugar,114.0,118.4,0
sp_g,epi_cells,114.0,120.2,0
sugar,bpigment,117.0,120.0,0
kb,bpigment,117.0,120.0,0
age,blood,118.0,116.6,0
kb,blood,119.0,118.0,0
gender,epi_cells,120.0,122.2,0
albumin,glucose,121.0,120.0,0
sp_g,kb,122.0,119.6,0
u_clarity,kb,123.0,127.0,0
epi_cells,cc,125.0,139.0,0
gender,u_clarity,127.0,125.8,0
ph,sugar,128.0,133.6,0
bpigment,cc,128.0,134.2,0
ur_bi,red_cells,128.0,128.6,0
kb,mt,129.0,130.2,0
co,cc,129.0,119.8,0
blood,epi_cells,130.0,132.0,0
bacteria,cc,130.0,124.8,0
gender,mt,132.0,133.2,0
u_clarity,gc,132.0,128.0,0
gender,gc,133.0,128.8,0
bpigment,blood,133.0,130.8,0
u_clarity,cc,135.0,132.0,0
sugar,blood,135.0,132.8,0
sugar,mt,136.0,128.2,0
gender,bpigment,138.0,138.0,0
u_clarity,sugar,139.0,129.8,0
ur_bi,bacteria,140.0,141.6,0
kb,cc,141.0,141.6,0
sp_g,blood,142.0,140.6,0
sugar,gc,143.0,137.2,0
gender,cc,145.0,150.4,0
ph,cc,145.0,140.8,0
ph,blood,146.0,134.6,0
glucose,red_cells,146.0,144.4,0
sp_g,cc,147.0,145.6,0
ph,glucose,148.0,147.6,0
gc,cc,148.0,149.8,0
glucose,mt,149.0,151.2,0
gender,blood,150.0,147.6,0
sugar,epi_cells,150.0,146.6,0
ur_bi,gc,150.0,153.2,0
ur_bi,pus_cells,153.0,157.6,0
gender,kb,154.0,150.0,0
sugar,cc,154.0,147.2,0
ur_bi,co,157.0,150.2,0
glucose,pus_cells,159.0,156.0,0
mt,cc,159.0,150.2,0
gender,sugar,163.0,160.6,0
glucose,bacteria,164.0,162.6,0
age,ur_bi,165.0,165.2,0
sugar,ur_bi,165.0,169.4,0
ur_bi,mt,166.0,163.8,0
u_clarity,glucose,167.0,168.2,0
blood,cc,167.0,162.0,0
ph,ur_bi,168.0,166.8,0
bpigment,ur_bi,168.0,167.6,0
glucose,co,169.0,170.2,0
kb,ur_bi,171.0,169.2,0
age,glucose,174.0,170.6,0
u_clarity,ur_bi,175.0,173.6,0
sp_g,ur_bi,175.0,174.0,0
glucose,kb,175.0,175.6,0
glucose,epi_cells,178.0,178.4,0
sp_g,glucose,179.0,177.4,0
ur_bi,blood,180.0,179.0,0
ur_bi,epi_cells,180.0,179.2,0
glucose,sugar,181.0,181.4,0
glucose,bpigment,182.0,180.4,0
glucose,gc,182.0,175.0,0
gender,ur_bi,185.0,181.8,0
glucose,blood,186.0,185.6,0
glucose,cc,186.0,182.2,0
gender,glucose,187.0,186.0,0
ur_bi,cc,187.0,182.8,0
glucose,ur_bi,190.0,188.8,0
