Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
Diabetic_Year,Age_Diff,0.3752621232880019,0.1331683664161383,1
Weight_Diff,Age_Diff,0.15402170365899778,0.08026801741667784,2
Age_Diabetes,Age_Diff,0.1511260262784535,0.10291955244894005,3
Age_Diff,BMI_per_Year,0.14335062982392213,0.09834758459019714,4
Gender,Height,0.13671987871128521,0.13295490338257374,5
Height,BMI,0.133306640836802,0.09556636064244106,6
BMI_Diabetes,Age_Diff,0.1309344254327843,0.07689755853722195,7
Age,Average_Age,0.12159258270552872,0.08900699546108037,8
BMI,Age_Diff,0.11664387481634067,0.08445881491976516,9
BMI,Calorie_Intake,0.10981592213420024,0.10400705820938388,10
Height,Age_Diff,0.10294844483114496,0.059384192587223064,11
Height,Calorie_Intake,0.09891083322373445,0.08918341829869879,12
Calorie_Intake,Age_Diff,0.08338443590647807,0.056457585283156884,13
Diabetic_Year,BMI_Diabetes,0.0826113465684363,0.03741286640035968,14
Average_Age,Average_Weight,0.08160841318385988,0.07674199948668234,15
BMI_Diabetes,Age_Diabetes,0.07978466587335717,0.07823458454803167,16
Diabetic_Year,BMI_per_Year,0.0785519683370681,0.07388176976706966,17
Average_Weight,Age_Diff,0.07783421030304549,0.039960504422623035,18
Height,BMI_Diabetes,0.07764854527216784,0.052062076683402306,19
BMI,Current_BMI,0.07510472795382495,0.05772620935952566,20
Average_Weight,BMI,0.07254633720759478,0.057483030247045694,21
Height,Age,0.06977098746668427,0.04458445706977685,22
Height,Average_Weight,0.0674636720098111,0.04805120013392297,23
Average_Weight,Calorie_Intake,0.06272463625506239,0.03896840486129329,24
Height,BMI_per_Year,0.05918256285354421,0.044880959580991225,25
Walk_Regularly,Age_Diff,0.05856455843074389,0.031552525396462236,26
Average_Age,BMI_per_Year,0.05838127960161517,0.06229075641535234,27
Height,Take_Insulin,0.057644912982651175,0.045157361259362816,28
Weight,BMI,0.05721358378795747,0.050156802639466855,29
Weight,Age_Diff,0.05713666293791769,0.041321583005171914,30
BMI,BMI_per_Year,0.05708365035897818,0.042381515752752785,31
BMI_Diabetes,BMI_per_Year,0.05701932440363381,0.04562303207762752,32
Age,Age_Diff,0.05608732203026057,0.033921412815422054,33
Diabetic_Year,Average_Weight,0.055822403088784986,0.038590402336429984,34
