rank,feature,mean_abs_shap
1,pus_cells,0.13193557684419108
2,albumin,0.12425915132907372
3,red_cells,0.06103757796909254
4,bacteria,0.05443689426423071
5,co,0.040763545039256
6,u_clarity,0.029993759662734976
7,age,0.026936951029791982
8,bpigment,0.023735071080284012
9,gc,0.023486432232705846
10,mt,0.022979034309057726
11,kb,0.017343817263071964
12,blood,0.015325330548628618
13,epi_cells,0.015158401585609455
14,sp_g,0.013552290079206462
15,sugar,0.011209063235391701
16,ph,0.011043180579868007
17,cc,0.009663303940925835
18,gender,0.003175786814050236
19,ur_bi,0.0013281214873811025
20,glucose,0.00037666777691089577
