final_rank,feature,mean_shap,std_shap,mean_rank
1,pus_cells,0.13454715523334146,0.011657904854869151,1.0
2,albumin,0.11423307355039994,0.010400779071756133,2.0
3,bacteria,0.05778497633109677,0.004589511952453781,3.8
4,red_cells,0.055383171330995795,0.009955816607259997,3.6
5,co,0.05107848233285058,0.009189699733477545,4.6
6,age,0.029284393027367718,0.008121715898479306,7.0
7,mt,0.023582209431097022,0.005757012042041066,8.6
8,u_clarity,0.02318914408435858,0.006168725377942747,8.0
9,gc,0.023025363990381114,0.006253014536746358,9.2
10,ph,0.01788495732842814,0.0050653685155598385,10.8
11,bpigment,0.01726861662307068,0.003813933307769226,11.6
12,kb,0.016505589626708134,0.006220351921664435,12.0
13,sp_g,0.014656268384121077,0.002976394752600449,13.2
14,epi_cells,0.014615681676470729,0.002868015980822413,12.8
15,blood,0.013025164925305383,0.003483730051293303,13.6
16,sugar,0.012227985616268991,0.003053168819647339,14.2
17,cc,0.0079995028738052,0.00344456099080765,17.0
18,gender,0.005555375408711409,0.0031183469042787037,18.0
19,ur_bi,0.0018429347884346217,0.0006199531828025996,19.2
20,glucose,0.0011719750541087765,0.0009515447232795123,19.8
