rank,feature,mean_abs_shap
1,Age_Diff,1.515507391644715
2,Diabetic_Year,0.5277646440156559
3,Calorie_Intake,0.2566661802130554
4,BMI_per_Year,0.25460139082416827
5,BMI_Diabetes,0.23090721439568598
6,Height,0.17563794146932707
7,Average_Weight,0.17451604495466796
8,Take_Insulin,0.15299204658520604
9,Average_Age,0.14390251299584073
10,Urinary_Infection,0.1434996936166073
11,Family_Background_of_Diabetes,0.13790383903261677
12,Age,0.1281559167669791
13,BMI,0.12486311959347463
14,Weight_Diff,0.10537965883588911
15,Walk_Regularly,0.07116785714696099
16,Gender,0.06997228588542717
17,Age_Diabetes,0.06410650033613817
18,Weight,0.05654558493265973
19,Current_BMI,0.05354490417066981
20,Treatment_Score,0.05248818014732727
21,Water_Consumption,0.046595997066002266
22,Job,0.04067277750203051
23,Heart_Disease,0.03909424242947759
24,Risk_Score,0.032244140117769625
25,Lifestyle_Score,0.031673338991735384
26,Zarda_Betel_Leaf,0.029364179396485
27,Urination_Properly,0.0269043070665306
28,Pain_killer,0.01780537496056123
29,Take_Medicine_for_Diabetes,0.017298979604650933
30,Sleep,0.012574522568202724
31,Hypertension,0.009772017912023917
32,Smoke,0.005376259572200337
33,Follow_suggested_Diet,0.003256067346608422
