Feature_Set,Fold,Threshold,PR_AUC,MCC,F1,Sensitivity,Specificity,Brier_Score
Age + Diabetic Year,1,0.35999999999999993,0.2165895206469911,0.20216537488173447,0.2604340567612688,0.9069767441860465,0.4153225806451613,0.21178970750265458
Age + Diabetic Year,2,0.19,0.15527799961465333,0.09994267757257554,0.2096069868995633,0.631578947368421,0.5386740331491713,0.20887062842680656
Age + Diabetic Year,3,0.08,0.24212376200422303,0.22424621583835885,0.26146788990825687,0.8260869565217391,0.5700416088765603,0.07374798050753766
Age + Diabetic Year,4,0.05,0.18845019435338956,0.1783155863333031,0.2524752475247525,0.6986301369863014,0.6039603960396039,0.09288176439953122
Age + Diabetic Year,5,0.18,0.13810216385518365,0.06464427087120439,0.19083969465648856,0.3048780487804878,0.7841225626740947,0.11190105401646022
Complete,1,0.6399999999999999,0.46857313845810084,0.42816287136106757,0.48863636363636365,0.5,0.9368279569892473,0.09253929976073229
Complete,2,0.06,0.4198344649089372,0.32315373623252663,0.389937106918239,0.40789473684210525,0.9281767955801105,0.09054647197377527
Complete,3,0.24,0.4825804706346671,0.434993101678839,0.4868421052631579,0.5362318840579711,0.9361997226074896,0.06355744406055995
Complete,4,0.07,0.3831863549911662,0.3580645989322965,0.4189189189189189,0.4246575342465753,0.9377652050919377,0.09040086266845804
Complete,5,0.26999999999999996,0.44616270214746,0.36876661627194457,0.4195804195804196,0.36585365853658536,0.9568245125348189,0.09506242139744987
Without Lifestyle,1,0.59,0.4695248936879494,0.46524631547059697,0.5235602094240838,0.5813953488372093,0.9260752688172043,0.096058735017676
Without Lifestyle,2,0.06,0.4420988930960139,0.3387048622886602,0.4049079754601227,0.4342105263157895,0.925414364640884,0.08791995236446512
Without Lifestyle,3,0.16999999999999998,0.4682137934651485,0.43070187121339093,0.4819277108433735,0.5797101449275363,0.9209431345353676,0.06268826901306718
Without Lifestyle,4,0.5399999999999999,0.435268022305637,0.40822003912094446,0.448,0.3835616438356164,0.9660537482319661,0.08168847226411731
Without Lifestyle,5,0.29,0.43157286897956204,0.35202606558271504,0.40816326530612246,0.36585365853658536,0.9512534818941504,0.0968734333265925
