Feature,Mean_Abs_SHAP,SD_Abs_SHAP,Median_Rank,Top10_Folds,Overall_Rank
pus_cells,0.13570683411127055,0.00820483361376881,1.0,5,1
albumin,0.1147246403501305,0.012739217612480572,2.0,5,2
bacteria,0.05722803166157302,0.0030663648228823623,3.0,5,3
red_cells,0.05542494326414573,0.009228385245895419,4.0,5,4
co,0.05115790949946257,0.006034194452372157,4.0,5,5
age,0.028419474412543073,0.0060281712390251475,6.0,5,6
mt,0.023481229993337047,0.006455174837131772,8.0,4,7
u_clarity,0.023393416785617745,0.007220735012893227,9.0,3,8
gc,0.02298049324014321,0.006424819878189217,8.0,4,9
ph,0.01779837434053753,0.006042221978284481,12.0,2,10
bpigment,0.017188562033829936,0.0020575631142499724,10.0,3,11
kb,0.01657462122971018,0.006203666359357053,12.0,2,12
epi_cells,0.014899434154652913,0.003647392762282658,13.0,1,13
sp_g,0.01416181805336085,0.0033186595663320818,14.0,1,14
blood,0.01284251875162988,0.0035783367241459677,14.0,0,15
sugar,0.011868700514998486,0.0027536990639285687,15.0,0,16
cc,0.007988840352852564,0.0031176314684753167,17.0,0,17
gender,0.0055469095039582215,0.0029552380134719213,18.0,0,18
ur_bi,0.001861258594684733,0.0004280360399635975,19.0,0,19
glucose,0.0012675525861606794,0.0012132382896554836,20.0,0,20
