Feature,Mean_Permutation_Importance,SD_Permutation_Importance,Permutation_Rank
pus_cells,0.04944591652691892,0.030671136902948554,1
albumin,0.03715896088809701,0.010825775535371224,2
red_cells,0.01890278360060091,0.011580918391278987,3
co,0.015758448188519743,0.01113833885406129,4
bacteria,0.012259431881703534,0.006535860999697742,5
mt,0.003465602400167704,0.004187180315936421,6
kb,0.0031956435820843484,0.0027527859816063966,7
age,0.002073998619990935,0.0010276122206617653,8
bpigment,0.0017482771722041955,0.0011750241572298242,9
blood,0.0016775790011529356,0.001787938070675065,10
epi_cells,0.0016265601526744323,0.0022160612290985544,11
sugar,0.0015812676868253096,0.001495028394381615,12
gc,0.0013024709149984503,0.002674909140268008,13
cc,0.000956087543234474,0.001151887495518136,14
sp_g,0.0003542387241030088,0.0007937627902325589,15
ur_bi,9.053034273138749e-05,0.0004901704091082406,16
glucose,8.184523809524614e-05,0.0004228652451899823,17
u_clarity,6.323040037732762e-05,0.0015314865200363177,18
ph,-3.4325542395960917e-05,0.0014309798682415984,19
gender,-0.0005067821332494526,0.002501731659726005,20
