Feature,LIME_Weight,Dataset,Case
0.00 < pus_cells <= 1.00,-0.24109612215315387,Dataset1,TP
0.00 < albumin <= 1.00,0.22813270029245947,Dataset1,TP
red_cells <= 0.00,0.1562072570072917,Dataset1,TP
0.00 < bacteria <= 1.00,0.12579066172448894,Dataset1,TP
co <= 0.00,-0.11326462743804484,Dataset1,TP
0.00 < mt <= 1.00,0.08872251176128103,Dataset1,TP
gc <= 0.00,-0.07322449867069075,Dataset1,TP
kb <= 0.00,-0.06951973435618786,Dataset1,TP
0.00 < pus_cells <= 1.00,-0.25196221241664996,Dataset1,FN
0.00 < albumin <= 1.00,0.21903625482071096,Dataset1,FN
bacteria <= 0.00,-0.13492795562700297,Dataset1,FN
0.00 < red_cells <= 1.00,-0.132280851064354,Dataset1,FN
co <= 0.00,-0.11076304757622027,Dataset1,FN
0.00 < mt <= 1.00,0.062245372392790675,Dataset1,FN
bpigment <= 0.00,-0.05358972949317566,Dataset1,FN
age <= 18.00,-0.050088418866041096,Dataset1,FN
Age_Diff > 2.00,0.3429565108193101,Dataset2,TP
Diabetic_Year > 12.00,-0.05109153827530226,Dataset2,TP
0.00 < Weight_Diff <= 1.00,-0.03866349682023801,Dataset2,TP
Heart_Disease <= 0.00,-0.030590465182283408,Dataset2,TP
Calorie_Intake <= 1300.00,-0.02845621481217382,Dataset2,TP
0.00 < Take_Insulin <= 1.00,0.02541411916732342,Dataset2,TP
BMI_per_Year <= 1.87,0.02432894334887237,Dataset2,TP
Average_Age > 58.00,-0.02294030763238804,Dataset2,TP
Urinary_Infection <= 0.00,-0.046747090241243544,Dataset2,FN
0.00 < Pain_killer <= 1.00,0.03184259397679991,Dataset2,FN
0.00 < Walk_Regularly <= 1.00,0.025515514343243905,Dataset2,FN
0.00 < Weight_Diff <= 1.00,-0.022271734213522215,Dataset2,FN
Heart_Disease <= 0.00,-0.021192757977190082,Dataset2,FN
0.00 < Age_Diff <= 2.00,-0.01890906878012083,Dataset2,FN
152.40 < Height <= 157.48,-0.01738488286027954,Dataset2,FN
0.00 < Take_Insulin <= 1.00,0.017247577198267004,Dataset2,FN
