Model,Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,
Majority Dummy,0.631578947,0.5,0.631578947,0.774193548,0,1,0,0.5,0.368421053,
Stratified Dummy,0.592105263,0.550595238,0.656432749,0.686868687,0.103892496,0.708333333,0.392857143,0.550595238,0.407894737,
Logistic Regression,0.934210526,0.989583333,0.994267281,0.948453608,0.857919359,0.958333333,0.892857143,0.925595238,0.044094859,
Decision Tree,0.907894737,0.889880952,0.890694874,0.929292929,0.800583354,0.958333333,0.821428571,0.889880952,0.092105263,
Random Forest,0.947368421,0.988839286,0.993433628,0.959183673,0.886658335,0.979166667,0.892857143,0.936011905,0.051781579,
XGBoost,0.934210526,0.988095238,0.99330446,0.95049505,0.862516846,1,0.821428571,0.910714286,0.045096287,
LightGBM,0.960526316,0.988839286,0.993617129,0.96969697,0.916698497,1,0.892857143,0.946428571,0.036905581,
CatBoost,0.934210526,0.989583333,0.994243813,0.949494949,0.858640926,0.979166667,0.857142857,0.918154762,0.042828687,
SVM,0.75,0.88764881,0.929389279,0.834782609,0.479872051,1,0.321428571,0.660714286,0.147885731,
MLP,0.947368421,0.993303571,0.996169589,0.959183673,0.886658335,0.979166667,0.892857143,0.936011905,0.094109667,
