Model,Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,
Majority Dummy,0.91375,0.5,0.08625,0,0,0,1,0.5,0.08625,
Stratified Dummy,0.83625,0.523216162,0.09142409,0.132450331,0.042976843,0.144927536,0.901504788,0.523216162,0.16375,
Logistic Regression,0.91375,0.703979064,0.153662137,0,0,0,1,0.5,0.076471963,
Decision Tree,0.83,0.513233807,0.088810742,0.116883117,0.024112128,0.130434783,0.896032832,0.513233807,0.17,
Random Forest,0.9125,0.731973275,0.162805249,0,-0.010869072,0,0.998632011,0.499316005,0.078651375,
XGBoost,0.8925,0.74202502,0.195768491,0.104166667,0.065864236,0.072463768,0.969904241,0.521184004,0.085268114,
LightGBM,0.90875,0.762663812,0.227581852,0.098765432,0.108611977,0.057971014,0.989056088,0.523513551,0.077308193,
CatBoost,0.91375,0.748527925,0.198899177,0.08,0.128117995,0.043478261,0.995896033,0.519687147,0.077720894,
SVM,0.91375,0.47270961,0.078383341,0,0,0,1,0.5,0.079199666,
MLP,0.91375,0.502488154,0.086640918,0,0,0,1,0.5,0.083547364,
,,,,,,,,,,
