rank,feature,mean_abs_shap
1,pus_cells,0.15400222720159937
2,albumin,0.09795908268775529
3,bacteria,0.06487925828453606
4,co,0.05943198979517542
5,red_cells,0.04605166077576827
6,age,0.037555811604687725
7,gc,0.02879639535960082
8,kb,0.02547005096059023
9,u_clarity,0.020499379442764042
10,mt,0.018650201272570204
11,bpigment,0.017123276631255742
12,ph,0.016124887296812572
13,blood,0.013841045505903793
14,sugar,0.012868370929991978
15,epi_cells,0.012003961628570661
16,sp_g,0.011600058206605588
17,cc,0.006734013533251054
18,gender,0.006529906354072132
19,ur_bi,0.0020351208198460986
20,glucose,0.0008969555198639761
