rank,feature,mean_abs_shap
1,Age_Diff,1.5791790447995668
2,Diabetic_Year,0.6724277762633364
3,Urinary_Infection,0.2768698287645627
4,Average_Weight,0.22415537377040162
5,Height,0.2230238939854089
6,Average_Age,0.20141853340056654
7,BMI,0.18964050529975074
8,Take_Insulin,0.1821365928966148
9,Walk_Regularly,0.172816703735017
10,Age,0.1631589621851638
11,Weight_Diff,0.14043122025466656
12,BMI_per_Year,0.13918427904808206
13,BMI_Diabetes,0.12087687421136509
14,Job,0.11770861242654618
15,Calorie_Intake,0.115743738751919
16,Pain_killer,0.10474240806572899
17,Age_Diabetes,0.08247168977701015
18,Treatment_Score,0.0739777302528496
19,Heart_Disease,0.06751741967510069
20,Gender,0.06689116470475696
21,Weight,0.06404768465170181
22,Water_Consumption,0.0598225183999344
23,Lifestyle_Score,0.05578399425464399
24,Current_BMI,0.0499692728660264
25,Risk_Score,0.042330074222197075
26,Take_Medicine_for_Diabetes,0.03997781692824238
27,Smoke,0.034626070651417054
28,Zarda_Betel_Leaf,0.026933846118779123
29,Hypertension,0.02295547766621367
30,Family_Background_of_Diabetes,0.021167675093700627
31,Sleep,0.0188285588763419
32,Urination_Properly,0.0130898971782573
33,Follow_suggested_Diet,0.005538999867434714
