final_rank,feature,mean_shap,std_shap,mean_rank
1,Age_Diff,3.002057737682813,1.3322802540303496,1.0
2,Diabetic_Year,1.6946554529976379,1.0320654264567235,2.0
3,Calorie_Intake,0.7947985327541207,0.6003712590773912,6.8
4,Height,0.736810109228459,0.5149834934051614,5.2
5,BMI_per_Year,0.7007251657497084,0.4772714695996943,6.8
6,BMI_Diabetes,0.6854536911698026,0.4813059922352618,7.2
7,BMI,0.6504781964676407,0.5078976299752284,8.6
8,Age,0.642067651057701,0.4862011121715887,9.0
9,Average_Age,0.6098352764737617,0.41532637938849604,8.2
10,Average_Weight,0.5439199290509877,0.33900462700331485,8.4
11,Age_Diabetes,0.5153218547026774,0.434758247183596,12.2
12,Take_Insulin,0.46979185473406143,0.35598195068224536,10.6
13,Weight_Diff,0.4342311427167932,0.29192794767236735,12.4
14,Walk_Regularly,0.39217875240465755,0.27228730286734093,13.6
15,Urinary_Infection,0.36543455573421857,0.1855823452878315,12.8
16,Weight,0.2716772272880201,0.20213250213426404,18.0
17,Current_BMI,0.24580814878140905,0.17782501379135549,19.6
18,Family_Background_of_Diabetes,0.23750430801842376,0.1988089916203676,20.0
19,Treatment_Score,0.2249025600278801,0.1748604277332646,20.2
20,Heart_Disease,0.1902694942672077,0.19209683447232667,22.2
21,Zarda_Betel_Leaf,0.1838096230429022,0.21825359386145893,23.8
22,Pain_killer,0.18164567414283989,0.16309199508908373,22.0
23,Risk_Score,0.17857305049785338,0.15436699506924134,22.2
24,Gender,0.17844556688177948,0.12043993498658113,21.2
25,Lifestyle_Score,0.17749492097835426,0.12908786131022829,23.0
26,Job,0.13884927834744698,0.11123801853898543,23.6
27,Water_Consumption,0.11291629343767787,0.13231661343800374,26.0
28,Urination_Properly,0.09556993775080216,0.07756635449557978,27.6
29,Sleep,0.08869367781068707,0.08780065155148037,29.6
30,Hypertension,0.08567891582818535,0.06813459038943975,28.6
31,Follow_suggested_Diet,0.08414319602807817,0.08271626700596967,30.2
32,Smoke,0.07628272354417942,0.07380587333499566,29.6
33,Take_Medicine_for_Diabetes,0.07064385206880401,0.04024080104688401,28.8
