rank,feature,mean_abs_shap
1,pus_cells,0.13269816031083562
2,albumin,0.1111036243709989
3,red_cells,0.05976619577654691
4,bacteria,0.055672880165615245
5,co,0.05398014754519478
6,age,0.028764962840565136
7,mt,0.026720054503620833
8,ph,0.01904475496103402
9,sp_g,0.01810042247690179
10,u_clarity,0.01698817658104561
11,epi_cells,0.015376743861886933
12,bpigment,0.015292884691124232
13,kb,0.012806493673134087
14,gc,0.012644700026465252
15,sugar,0.0074743085271079665
16,blood,0.006880010267039131
17,cc,0.005977474198121237
18,gender,0.0056723360339075895
19,ur_bi,0.0028420301736644294
20,glucose,0.0005160606330875172
