Model,PR AUC,ROC AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Accuracy,Brier Score
LightGBM,0.5202 ± 0.0459,0.8858 ± 0.0283,0.4672 ± 0.0659,0.4166 ± 0.0787,0.5277 ± 0.1656,0.9196 ± 0.0588,0.7237 ± 0.0604,0.8824 ± 0.0420,0.0778 ± 0.0133
XGBoost,0.5200 ± 0.0528,0.8797 ± 0.0254,0.4706 ± 0.0632,0.4180 ± 0.0697,0.6040 ± 0.1220,0.8956 ± 0.0517,0.7498 ± 0.0458,0.8670 ± 0.0389,0.0707 ± 0.0134
Random Forest,0.5181 ± 0.0324,0.8911 ± 0.0184,0.4714 ± 0.0265,0.4203 ± 0.0340,0.4601 ± 0.0693,0.9475 ± 0.0204,0.7038 ± 0.0273,0.9004 ± 0.0160,0.0635 ± 0.0057
CatBoost,0.5020 ± 0.0323,0.8813 ± 0.0212,0.4697 ± 0.0393,0.4135 ± 0.0435,0.5251 ± 0.0915,0.9235 ± 0.0307,0.7243 ± 0.0351,0.8854 ± 0.0233,0.0852 ± 0.0153
Decision Tree,0.3775 ± 0.0462,0.8526 ± 0.0146,0.4094 ± 0.0518,0.3554 ± 0.0563,0.4382 ± 0.1180,0.9191 ± 0.0758,0.6786 ± 0.0312,0.8731 ± 0.0597,0.1201 ± 0.0422
Logistic Regression,0.3609 ± 0.0308,0.8416 ± 0.0133,0.3988 ± 0.0362,0.3413 ± 0.0232,0.6208 ± 0.0981,0.8382 ± 0.0633,0.7295 ± 0.0185,0.8168 ± 0.0472,0.0747 ± 0.0044
MLP,0.3441 ± 0.0459,0.8264 ± 0.0130,0.3668 ± 0.0232,0.2955 ± 0.0289,0.5082 ± 0.0845,0.8661 ± 0.0369,0.6872 ± 0.0285,0.8315 ± 0.0268,0.0897 ± 0.0098
SVM,0.3426 ± 0.0509,0.8059 ± 0.0154,0.3681 ± 0.0251,0.2962 ± 0.0242,0.5305 ± 0.0280,0.8552 ± 0.0216,0.6929 ± 0.0101,0.8240 ± 0.0179,0.0872 ± 0.0078
(Age+Diabetic_Year) Logistic Regression,0.1374 ± 0.0140,0.6181 ± 0.0480,0.2186 ± 0.0179,0.1333 ± 0.0498,0.8268 ± 0.0994,0.3910 ± 0.0283,0.6089 ± 0.0409,0.4330 ± 0.0187,0.2138 ± 0.0680
Stratified Dummy,0.0984 ± 0.0090,0.5078 ± 0.0123,0.1119 ± 0.0245,0.0158 ± 0.0247,0.1132 ± 0.0218,0.9023 ± 0.0031,0.5078 ± 0.0123,0.8263 ± 0.0047,0.1737 ± 0.0047
Majority Dummy,0.0964 ± 0.0067,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.9036 ± 0.0067,0.0964 ± 0.0067
