Feature,Mean_Abs_SHAP,SD_Abs_SHAP,Median_Rank,Top10_Folds,Overall_Rank
Age_Diff,3.0118725795020382,1.3465170541832485,1.0,5,1
Diabetic_Year,1.677191529921087,1.0010871490583777,2.0,5,2
Calorie_Intake,0.7888206010098484,0.5883383310870364,3.0,4,3
BMI_per_Year,0.6975563388817636,0.4629426914149272,6.0,4,4
BMI_Diabetes,0.6838397019429199,0.4850397822163364,5.0,4,5
Height,0.6618075347061183,0.4481965151673107,7.0,5,6
BMI,0.6200891488155131,0.5055664306317691,11.0,2,7
Age,0.6168053074817872,0.4626813776251398,9.0,5,8
Average_Age,0.5790721704630746,0.3883868642980253,10.0,4,9
Age_Diabetes,0.5139733727455715,0.43953794693579396,13.0,2,10
Average_Weight,0.5129159344237609,0.3660458626344575,6.0,3,11
Take_Insulin,0.4656184947911012,0.3454932460931762,10.0,3,12
Weight_Diff,0.4112955165134302,0.2720382738417005,12.0,0,13
Walk_Regularly,0.38503679994479695,0.26676412660745547,15.0,2,14
Urinary_Infection,0.3647010310293776,0.1834649953338046,13.0,1,15
Weight,0.25950913947601406,0.1918115778529156,19.0,0,16
Current_BMI,0.24278516213356025,0.1750270166272756,19.0,0,17
Family_Background_of_Diabetes,0.23001206850314054,0.18531087805988922,18.0,1,18
Treatment_Score,0.22358225431847992,0.1715598180920542,18.0,0,19
Heart_Disease,0.1959467564567466,0.2098752239601784,20.0,0,20
Pain_killer,0.18809784394218704,0.18107380865550451,21.0,0,21
Zarda_Betel_Leaf,0.18425105727111638,0.22661639573819684,25.0,0,22
Gender,0.17553910377341944,0.12582962883635834,20.0,0,23
Risk_Score,0.1737844045864984,0.14524587867060956,24.0,0,24
Lifestyle_Score,0.1655711844230078,0.12128892462057358,23.0,0,25
Job,0.14090253485006674,0.1435086515399569,23.0,0,26
Water_Consumption,0.13487766393806772,0.19094910695947762,22.0,0,27
Urination_Properly,0.09454251923611398,0.07772905949179298,26.0,0,28
Sleep,0.08882393401395176,0.08974940137024336,30.0,0,29
Hypertension,0.0828441275872331,0.06375582827293952,29.0,0,30
Follow_suggested_Diet,0.07874028722260723,0.0778718859340008,32.0,0,31
Smoke,0.07595490705198786,0.07789260464770685,30.0,0,32
Take_Medicine_for_Diabetes,0.06637911854457407,0.038899914620046806,29.0,0,33
