Model,Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score,
Random Forest,0.9079 ± 0.0501,0.9717 ± 0.0217,0.9833 ± 0.0121,0.9295 ± 0.0354,0.8029 ± 0.1113,0.9498 ± 0.0237,0.8367 ± 0.1399,0.8933 ± 0.0682,0.0685 ± 0.0237,
Logistic Regression,0.9053 ± 0.0399,0.9714 ± 0.0209,0.9831 ± 0.0122,0.9261 ± 0.0319,0.7969 ± 0.0843,0.9457 ± 0.0405,0.8374 ± 0.0621,0.8915 ± 0.0423,0.1485 ± 0.0510,
LightGBM,0.9105 ± 0.0314,0.9692 ± 0.0193,0.9813 ± 0.0118,0.9288 ± 0.0259,0.8095 ± 0.0666,0.9329 ± 0.0432,0.8722 ± 0.0326,0.9025 ± 0.0290,0.0679 ± 0.0240,
MLP,0.8895 ± 0.0578,0.9677 ± 0.0265,0.9810 ± 0.0146,0.9143 ± 0.0452,0.7666 ± 0.1235,0.9333 ± 0.0578,0.8167 ± 0.1283,0.8750 ± 0.0683,0.0697 ± 0.0296,
CatBoost,0.9026 ± 0.0401,0.9671 ± 0.0209,0.9798 ± 0.0139,0.9249 ± 0.0301,0.7943 ± 0.0834,0.9500 ± 0.0432,0.8239 ± 0.1081,0.8869 ± 0.0503,0.0705 ± 0.0206,
XGBoost,0.8842 ± 0.0530,0.9634 ± 0.0234,0.9771 ± 0.0163,0.9132 ± 0.0358,0.7510 ± 0.1152,0.9541 ± 0.0173,0.7663 ± 0.1499,0.8602 ± 0.0728,0.0782 ± 0.0365,
Decision Tree,0.8816 ± 0.0335,0.9362 ± 0.0236,0.9421 ± 0.0218,0.9082 ± 0.0262,0.7463 ± 0.0734,0.9330 ± 0.0453,0.7941 ± 0.0738,0.8635 ± 0.0376,0.0866 ± 0.0233,
Stratified Dummy,0.5789 ± 0.0322,0.5374 ± 0.0337,0.6475 ± 0.0201,0.6761 ± 0.0255,0.0768 ± 0.0692,0.6987 ± 0.0248,0.3761 ± 0.0427,0.5374 ± 0.0337,0.4211 ± 0.0322,
Majority Dummy,0.6289 ± 0.0059,0.5000 ± 0.0000,0.6289 ± 0.0059,0.7722 ± 0.0045,0.0000 ± 0.0000,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5000 ± 0.0000,0.3711 ± 0.0059,
SVM,0.7447 ± 0.1556,0.3982 ± 0.5213,0.6479 ± 0.3038,0.8377 ± 0.0878,0.3268 ± 0.4484,0.9831 ± 0.0277,0.3369 ± 0.4615,0.6600 ± 0.2195,0.1663 ± 0.0921,
,,,,,,,,,,
