Model,Accuracy,ROC AUC,PR AUC,F1,MCC,Sensitivity,Specificity,Balanced Accuracy,Brier Score
XGBoost,0.6227 ± 0.1205,0.6699 ± 0.0126,0.1744 ± 0.0090,0.2189 ± 0.0368,0.1266 ± 0.0398,0.5782 ± 0.2404,0.6271 ± 0.1578,0.6027 ± 0.0426,0.1068 ± 0.0182
CatBoost,0.5705 ± 0.1472,0.6798 ± 0.0196,0.1710 ± 0.0262,0.2250 ± 0.0223,0.1360 ± 0.0427,0.6576 ± 0.2424,0.5609 ± 0.1862,0.6093 ± 0.0447,0.1568 ± 0.0395
LightGBM,0.6660 ± 0.0494,0.6620 ± 0.0309,0.1664 ± 0.0143,0.2233 ± 0.0146,0.1139 ± 0.0239,0.4976 ± 0.0637,0.6835 ± 0.0591,0.5905 ± 0.0201,0.1475 ± 0.0383
Random Forest,0.5519 ± 0.0759,0.6798 ± 0.0355,0.1640 ± 0.0226,0.2353 ± 0.0111,0.1481 ± 0.0221,0.7134 ± 0.1087,0.5338 ± 0.0943,0.6236 ± 0.0190,0.1506 ± 0.0467
Logistic Regression,0.3956 ± 0.0960,0.6413 ± 0.0518,0.1599 ± 0.0254,0.2055 ± 0.0338,0.0982 ± 0.0709,0.8027 ± 0.1183,0.3517 ± 0.1126,0.5772 ± 0.0570,0.2365 ± 0.0185
MLP,0.5585 ± 0.2950,0.6152 ± 0.0521,0.1511 ± 0.0197,0.1727 ± 0.0673,0.0704 ± 0.0715,0.5425 ± 0.3906,0.5569 ± 0.3675,0.5497 ± 0.0608,0.1165 ± 0.0233
SVM,0.4384 ± 0.2265,0.5835 ± 0.1500,0.1440 ± 0.0585,0.2023 ± 0.0306,0.0856 ± 0.0655,0.7278 ± 0.2569,0.4079 ± 0.2762,0.5679 ± 0.0517,0.0884 ± 0.0037
Decision Tree,0.6039 ± 0.2239,0.6246 ± 0.0765,0.1423 ± 0.0271,0.1962 ± 0.0320,0.0924 ± 0.0554,0.5065 ± 0.3203,0.6163 ± 0.2794,0.5614 ± 0.0344,0.1962 ± 0.0375
(Age+Diabetic_Year) Logistic Regression,0.4330 ± 0.0187,0.6181 ± 0.0480,0.1374 ± 0.0140,0.2186 ± 0.0179,0.1333 ± 0.0498,0.8268 ± 0.0994,0.3910 ± 0.0283,0.6089 ± 0.0409,0.2138 ± 0.0680
Stratified Dummy,0.8263 ± 0.0047,0.5078 ± 0.0123,0.0984 ± 0.0090,0.1119 ± 0.0245,0.0158 ± 0.0247,0.1132 ± 0.0218,0.9023 ± 0.0031,0.5078 ± 0.0123,0.1737 ± 0.0047
Majority Dummy,0.9036 ± 0.0067,0.5000 ± 0.0000,0.0964 ± 0.0067,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.0964 ± 0.0067
